date,fotovolt
02/09/2021,-0.46976233
02/09/2021,2.6586788
02/09/2021,-0.46976233
02/09/2021,2.6586788
03/09/2021,551.8643
04/09/2021,95.82616
05/09/2021,94.33719
05/09/2021,55.500946
05/09/2021,94.33719
05/09/2021,55.500946
06/09/2021,654.28815
07/09/2021,6.8837767
08/09/2021,139.20892
08/09/2021,148.0943
08/09/2021,139.20892
08/09/2021,148.0943
09/09/2021,638.4094
10/09/2021,0.7372658
10/09/2021,-8.806799
11/09/2021,660.16547
12/09/2021,152.91281
13/09/2021,0.5718925
13/09/2021,8.01159
13/09/2021,0.5718925
13/09/2021,8.01159
14/09/2021,700.9124
15/09/2021,10.681315
15/09/2021,-27.900757
16/09/2021,14.0800495
17/09/2021,47.767143
18/09/2021,531.6333
19/09/2021,14.439306
20/09/2021,1.8349733
20/09/2021,-28.133017
21/09/2021,552.70215
22/09/2021,94.5017
23/09/2021,-0.49589658
23/09/2021,59.759384
24/09/2021,-0.42508435
25/09/2021,667.4476
26/09/2021,114.472664
27/09/2021,-10.197817
27/09/2021,6.6227055
28/09/2021,155.0314
29/09/2021,-10.424137
29/09/2021,8.044411
30/09/2021,152.29509
01/10/2021,353.97
02/10/2021,5.747158
02/10/2021,23.72045
03/10/2021,691.315
04/10/2021,18.797617
05/10/2021,1.8142834
05/10/2021,35.252426
05/10/2021,1.8142834
05/10/2021,35.252426
06/10/2021,532.52997
07/10/2021,7.6003942
07/10/2021,10.622349
08/10/2021,157.89694
09/10/2021,113.47174
10/10/2021,-0.96477604
10/10/2021,-5.8183613
11/10/2021,99.623184
12/10/2021,46.23219
13/10/2021,0.5479877
13/10/2021,5.8527346
14/10/2021,17.420965
15/10/2021,153.99774
16/10/2021,-3.1403644
17/10/2021,0.36064625
17/10/2021,11.616749
18/10/2021,322.5126
19/10/2021,-7.858512
19/10/2021,5.2128673
20/10/2021,328.99112
21/10/2021,314.92538
22/10/2021,248.01497
23/10/2021,4.025257
23/10/2021,5.290016
24/10/2021,504.58548
25/10/2021,119.751915
26/10/2021,4.24959
26/10/2021,10.639095
27/10/2021,-2.7642276
28/10/2021,515.51385
29/10/2021,94.690796
30/10/2021,3.580396
30/10/2021,1.5185969
31/10/2021,469.7256
01/11/2021,2.704927
02/11/2021,0.75144994
03/11/2021,-4.228303
04/11/2021,4.774188
04/11/2021,-0.4163487
05/11/2021,287.64636
06/11/2021,-3.667796
07/11/2021,5.271946
07/11/2021,-0.09752345
08/11/2021,191.38332
09/11/2021,-7.7960196
09/11/2021,1.3456051
10/11/2021,-5.2153625
11/11/2021,623.5171
12/11/2021,7.516739
12/11/2021,-10.620504
13/11/2021,112.44422
14/11/2021,80.20919
15/11/2021,5.260067
15/11/2021,4.6151476
16/11/2021,397.92453
17/11/2021,-1.5287807
17/11/2021,5.5057006
18/11/2021,-2.6370614
19/11/2021,311.57303
20/11/2021,424.10782
21/11/2021,231.31868
22/11/2021,7.955762
22/11/2021,-17.378933
23/11/2021,-10.799415
24/11/2021,334.38428
25/11/2021,-2.5135634
25/11/2021,-5.375723
26/11/2021,44.635677
27/11/2021,23.653015
28/11/2021,1.3011372
28/11/2021,-0.46262765
29/11/2021,113.64561
30/11/2021,2.0834956
30/11/2021,2.32931
01/12/2021,2.6746774
02/12/2021,220.97694
03/12/2021,4.492901
03/12/2021,24.792774
04/12/2021,172.15231
05/12/2021,4.632598
06/12/2021,1.5549986
06/12/2021,-1.9128921
07/12/2021,42.12992
08/12/2021,7.84581
08/12/2021,0.372015
09/12/2021,32.414005
10/12/2021,9.582387
11/12/2021,4.668888
11/12/2021,-0.6270392
12/12/2021,100.47543
13/12/2021,2.3303785
14/12/2021,4.0136194
14/12/2021,1.4316825
15/12/2021,-4.125222
16/12/2021,161.52115
17/12/2021,42.550095
18/12/2021,18.545794
18/12/2021,-2.8296978
19/12/2021,283.8453
20/12/2021,-1.7854836
21/12/2021,-1.8458383
21/12/2021,0.08039689
22/12/2021,323.21317
23/12/2021,-5.4942675
24/12/2021,17.49962
25/12/2021,-3.9574926
26/12/2021,6.432026
26/12/2021,-2.7310355
27/12/2021,1.4346261
28/12/2021,2.6322954
29/12/2021,1.7627631
29/12/2021,4.3494024
30/12/2021,49.588093
31/12/2021,1.7721103
31/12/2021,3.9193146
01/01/2022,-4.339951
02/01/2022,265.6215
03/01/2022,-4.1023064
03/01/2022,3.0321589
04/01/2022,121.475784
05/01/2022,89.150925
06/01/2022,-1.667139
06/01/2022,1.4623432
07/01/2022,202.16812
08/01/2022,7.6605983
09/01/2022,8.444008
09/01/2022,4.7098713
10/01/2022,55.343704
11/01/2022,-3.388618
12/01/2022,3.1272068
12/01/2022,0.34302223
13/01/2022,164.33034
14/01/2022,-8.227879
14/01/2022,-1.0969601
15/01/2022,352.12296
16/01/2022,131.13773
17/01/2022,1.1797118
17/01/2022,1.0049019
18/01/2022,247.38414
19/01/2022,261.4182
20/01/2022,-1.4902215
21/01/2022,-1.1695687
21/01/2022,-3.2418404
22/01/2022,444.59695
23/01/2022,6.97688
24/01/2022,2.218007
25/01/2022,-0.84901154
25/01/2022,6.8919134
26/01/2022,210.30756
27/01/2022,10.313083
27/01/2022,1.3983849
28/01/2022,41.79013
29/01/2022,475.09964
