date,hidrocarburti
06/08/2021,1193.2424
06/08/2021,1207.7346
07/08/2021,1108.2427
08/08/2021,886.4161
09/08/2021,1087.2017
09/08/2021,1182.34
09/08/2021,1087.2017
09/08/2021,1182.34
10/08/2021,1157.558
11/08/2021,1171.3385
11/08/2021,1246.2703
11/08/2021,1171.3385
11/08/2021,1246.2703
12/08/2021,1180.0847
13/08/2021,1204.2424
14/08/2021,1189.6346
14/08/2021,1188.16
14/08/2021,1189.6346
14/08/2021,1188.16
15/08/2021,1040.3391
16/08/2021,1145.3456
17/08/2021,1173.6198
17/08/2021,1265.2251
17/08/2021,1173.6198
17/08/2021,1265.2251
18/08/2021,1155.2767
19/08/2021,1110.637
20/08/2021,1137.3782
20/08/2021,1207.7346
20/08/2021,1137.3782
20/08/2021,1207.7346
21/08/2021,1171.4865
22/08/2021,929.18005
22/08/2021,959.51965
22/08/2021,929.18005
22/08/2021,959.51965
23/08/2021,1157.558
24/08/2021,1173.6198
25/08/2021,1250.7314
25/08/2021,1315.8452
25/08/2021,1250.7314
25/08/2021,1315.8452
26/08/2021,1273.7393
27/08/2021,1204.2424
28/08/2021,1090.6875
28/08/2021,1070.9791
28/08/2021,1090.6875
28/08/2021,1070.9791
29/08/2021,871.03625
30/08/2021,1076.7384
30/08/2021,1235.2417
30/08/2021,1076.7384
30/08/2021,1235.2417
31/08/2021,1180.8561
01/09/2021,1072.3916
02/09/2021,1169.6216
02/09/2021,1251.2081
02/09/2021,1169.6216
02/09/2021,1251.2081
03/09/2021,1108.7877
04/09/2021,999.67316
05/09/2021,860.57306
05/09/2021,572.89386
05/09/2021,860.57306
05/09/2021,572.89386
06/09/2021,910.41626
07/09/2021,1070.3499
08/09/2021,1171.3385
08/09/2021,1246.2703
08/09/2021,1171.3385
08/09/2021,1246.2703
09/09/2021,1233.4855
10/09/2021,1108.7877
10/09/2021,1124.8495
10/09/2021,1108.7877
10/09/2021,1124.8495
11/09/2021,1080.4929
12/09/2021,858.5075
13/09/2021,1076.7384
13/09/2021,1173.6198
13/09/2021,1076.7384
13/09/2021,1173.6198
