date,hidro
03/08/2021,1537.6536
04/08/2021,1376.405
04/08/2021,1267.0099
04/08/2021,1376.405
04/08/2021,1267.0099
05/08/2021,1305.3668
06/08/2021,1399.5328
06/08/2021,1333.9054
06/08/2021,1399.5328
06/08/2021,1333.9054
07/08/2021,1146.8263
08/08/2021,1146.8263
09/08/2021,1256.1495
09/08/2021,1373.5657
09/08/2021,1256.1495
09/08/2021,1373.5657
10/08/2021,1327.2523
11/08/2021,1257.2991
11/08/2021,1256.1495
11/08/2021,1257.2991
11/08/2021,1256.1495
12/08/2021,1257.2991
13/08/2021,1257.2991
14/08/2021,1147.9758
14/08/2021,1146.8263
14/08/2021,1147.9758
14/08/2021,1146.8263
15/08/2021,1146.8263
16/08/2021,1257.2991
17/08/2021,1257.2991
17/08/2021,1257.2991
17/08/2021,1257.2991
17/08/2021,1257.2991
18/08/2021,1256.1495
19/08/2021,1257.2991
20/08/2021,1390.9941
20/08/2021,1329.9388
20/08/2021,1390.9941
20/08/2021,1329.9388
21/08/2021,1148.0404
22/08/2021,1146.8263
22/08/2021,1146.8263
22/08/2021,1146.8263
22/08/2021,1146.8263
23/08/2021,1256.1495
24/08/2021,1257.2991
25/08/2021,1257.2991
25/08/2021,1380.0118
25/08/2021,1257.2991
25/08/2021,1380.0118
26/08/2021,1327.2523
27/08/2021,1257.2991
28/08/2021,1146.8263
28/08/2021,1146.8263
28/08/2021,1146.8263
28/08/2021,1146.8263
29/08/2021,1146.8263
30/08/2021,1256.1495
30/08/2021,1257.2991
30/08/2021,1256.1495
30/08/2021,1257.2991
31/08/2021,1256.1495
01/09/2021,1143.0132
02/09/2021,1143.0132
02/09/2021,1143.0132
02/09/2021,1143.0132
02/09/2021,1143.0132
03/09/2021,1141.8636
04/09/2021,1033.6902
05/09/2021,1032.5406
05/09/2021,1033.6902
05/09/2021,1032.5406
05/09/2021,1033.6902
06/09/2021,1141.8636
07/09/2021,1143.0132
08/09/2021,1141.8636
08/09/2021,1143.0132
08/09/2021,1141.8636
08/09/2021,1143.0132
09/09/2021,1141.8636
10/09/2021,1143.0132
10/09/2021,1143.0132
10/09/2021,1143.0132
10/09/2021,1143.0132
11/09/2021,1032.5406
12/09/2021,1032.5406
13/09/2021,1141.8636
13/09/2021,1143.0132
13/09/2021,1141.8636
13/09/2021,1143.0132
14/09/2021,1141.8636
15/09/2021,1141.9474
15/09/2021,1140.7979
15/09/2021,1141.9474
15/09/2021,1140.7979
16/09/2021,1140.7979
17/09/2021,1141.9474
18/09/2021,1032.6244
19/09/2021,1031.4749
20/09/2021,1140.7979
20/09/2021,1141.9474
20/09/2021,1140.7979
20/09/2021,1141.9474
21/09/2021,1140.7979
22/09/2021,1141.9474
