date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2012-04-12,2073,6203,1519,695,1429,363,6078,0,0,124
2012-04-12,2542,7343,2184,762,1431,396,7312,0,0,31
2012-04-12,2246,6744,2091,702,1427,237,6704,0,0,40
2012-04-13,2216,6327,1775,683,1426,155,6251,0,0,75
2012-04-13,2055,6121,1615,692,1430,281,6072,0,0,49
2012-04-13,2175,6499,1950,690,1429,2,6245,0,0,254
2012-04-13,2091,6385,1779,696,1422,534,6525,0,0,-140
2012-04-14,2027,5755,1267,694,1422,565,5970,0,0,-214
2012-04-14,1881,5439,1214,682,1427,571,5771,0,0,-332
2012-04-14,2042,6195,1748,687,1430,692,6597,0,0,-402
2012-04-14,1937,6343,2068,697,1425,622,6761,0,0,-418
2012-04-15,1436,5200,1321,680,1425,538,5399,0,0,-199
2012-04-15,1358,4864,1174,647,1425,557,5154,0,0,-290
2012-04-15,1348,4939,1642,655,1425,181,5251,0,0,-312
2012-04-15,1583,5708,1875,716,1429,506,6104,0,0,-396
2012-04-16,1298,4700,1011,640,1421,347,4720,0,0,-20
2012-04-16,1305,4924,1630,643,1425,330,5325,0,0,-401
2012-04-16,1284,4913,1416,633,1429,534,5293,0,0,-380
2012-04-16,1600,6268,2695,730,1425,143,6589,0,0,-321
2012-04-17,1349,4895,1551,667,1419,168,5157,0,0,-262
2012-04-17,2082,6443,2154,712,1416,569,6933,0,0,-490
2012-04-17,1657,6274,2081,641,1428,923,6724,0,0,-450
2012-04-17,2093,6934,2568,712,1427,365,7161,0,0,-227
2012-04-18,1828,5399,1459,643,1426,154,5499,0,0,-100
2012-04-18,2558,7547,2269,675,1411,806,7719,0,0,-172
2012-04-18,2247,7159,2290,651,1410,918,7516,0,0,-356
2012-04-18,2535,7345,2218,642,1422,606,7423,0,0,-79
2012-04-19,1988,5711,1526,602,1423,167,5706,0,0,4
2012-04-19,2653,7579,2288,631,1430,574,7573,0,0,6
2012-04-19,2302,6723,2085,629,1424,406,6841,0,0,-118
2012-04-19,2421,6726,1984,622,1425,341,6795,0,0,-69
2012-04-20,1986,5788,1680,613,1421,196,5897,0,0,-109
