date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2011-04-12,2742,6375,1704,726,1423,56,6650,0,0,-275
2011-04-12,2882,7714,3073,751,1425,144,8280,0,0,-566
2011-04-12,2767,7321,2906,714,1424,95,7906,0,0,-585
2011-04-13,2663,6183,1555,734,1426,46,6421,0,0,-238
2011-04-13,2870,7206,2569,731,1418,13,7603,0,0,-396
2011-04-13,2981,7748,3046,771,1400,29,8224,0,0,-477
2011-04-13,3004,8237,3572,784,1426,2,8783,0,0,-546
2011-04-14,2761,6185,1536,591,1427,164,6468,0,0,-283
2011-04-14,3282,7869,2911,634,1396,268,8489,0,0,-620
2011-04-14,3277,7888,2870,685,1427,293,8552,0,0,-664
2011-04-14,3240,8141,2926,748,1423,486,8823,0,0,-682
2011-04-15,2716,6169,1422,668,1430,479,6712,0,0,-543
2011-04-15,3018,7991,3149,683,1427,452,8729,0,0,-737
2011-04-15,3108,7526,2631,702,1425,454,8319,0,0,-793
2011-04-15,3092,7131,2121,717,1424,255,7612,0,0,-481
2011-04-16,2565,6115,1732,661,1418,220,6603,0,0,-488
2011-04-16,2642,6995,2741,718,1427,105,7632,0,0,-637
2011-04-16,2670,6637,2295,696,1424,104,7190,0,0,-552
2011-04-17,2532,6176,1904,709,1424,104,6667,0,0,-492
2011-04-17,2102,5561,1598,665,1421,151,5938,0,0,-377
2011-04-17,2294,5630,1884,652,1425,2,6252,0,0,-621
2011-04-17,2281,5828,1958,659,1425,33,6359,0,0,-531
2011-04-18,2269,5485,1536,650,1425,1,5876,0,0,-391
2011-04-18,2932,7420,3031,711,1425,0,8100,0,0,-680
2011-04-18,3013,7384,2732,749,1413,82,7982,0,0,-598
2011-04-18,3121,8140,3446,778,1425,2,8765,0,0,-625
2011-04-19,2752,6050,1591,719,1426,27,6515,0,0,-466
2011-04-19,3111,7706,3191,746,1423,37,8505,0,0,-799
2011-04-19,3056,7215,2781,749,1427,17,8029,0,0,-814
2011-04-19,2980,7646,2849,761,1425,367,8381,0,0,-735
2011-04-20,2384,5927,1392,750,1425,414,6363,0,0,-435
2011-04-20,2948,7409,2603,724,1419,430,8125,0,0,-716
2011-04-20,2750,6706,2245,729,1425,210,7359,0,0,-653
2011-04-20,2977,6759,2135,745,1426,4,7279,0,0,-519
2011-04-21,2669,6195,1719,741,1423,150,6701,0,0,-506
2011-04-21,2736,7122,2797,782,1391,4,7702,0,0,-580
2011-04-21,2427,6528,2359,726,1425,151,7089,0,0,-561
2011-04-22,2631,6046,1556,733,1420,161,6497,0,0,-451
2011-04-22,2439,6269,2012,712,1422,76,6665,0,0,-395
2011-04-22,2610,6769,2410,723,1420,54,7221,0,0,-452
2011-04-22,2567,6723,2528,739,1426,25,7282,0,0,-559
2011-04-23,2076,5744,1869,752,1421,26,6144,0,0,-400
2011-04-23,1808,5495,2040,731,1423,90,6090,0,0,-595
2011-04-23,1846,5508,2050,730,1425,53,6098,0,0,-590
2011-04-23,1934,6670,2993,800,1426,34,7187,0,0,-517
2011-04-24,1915,5057,1416,641,1422,58,5452,0,0,-395
2011-04-24,1487,4780,1589,629,1419,134,5260,0,0,-480
2011-04-24,1488,4484,1239,623,1424,182,4953,0,0,-469
2011-04-24,1945,5753,2132,654,1422,25,6180,0,0,-426
2011-04-25,1684,4649,1315,603,1421,41,5060,0,0,-411
2011-04-25,1516,4873,1787,610,1418,89,5423,0,0,-550
2011-04-25,1540,4786,1710,561,1423,10,5244,0,0,-458
2011-04-25,1772,5245,1886,613,1416,1,5687,0,0,-441
2011-04-26,1672,4935,1597,601,1418,110,5398,0,0,-462
2011-04-26,2175,5990,2426,613,1422,134,6769,0,0,-779
2011-04-26,2169,5856,2336,608,1420,43,6574,0,0,-717
2011-04-27,2204,5197,1279,585,1425,121,5608,0,0,-411
2011-04-27,2204,6358,2669,595,1427,56,6949,0,0,-591
2011-04-27,2517,6937,2901,686,1402,98,7602,0,0,-665
2011-04-27,2535,6912,2921,617,1422,40,7534,0,0,-622
2011-04-28,2274,5392,1529,592,1421,29,5845,0,0,-453
2011-04-28,2533,6871,2905,607,1412,78,7527,0,0,-656
2011-04-28,2596,6638,2676,622,1399,17,7310,0,0,-672
2011-04-28,2399,7423,3494,705,1425,52,8074,0,0,-652
2011-04-29,2183,5331,1438,603,1419,125,5765,0,0,-435
2011-04-29,2444,6694,2790,662,1411,70,7373,0,0,-679
2011-04-29,2418,6116,2235,672,1412,103,6842,0,0,-726
2011-04-29,2495,6545,2504,719,1419,4,7141,0,0,-596
2011-04-30,2370,5427,1397,619,1423,115,5917,0,0,-490
2011-04-30,2570,6345,2186,553,1420,42,6771,0,0,-426
2011-04-30,2451,5927,1845,664,1416,11,6387,0,0,-459
2011-05-01,2378,5721,1788,554,1419,47,6183,0,0,-462
2011-05-01,2160,4862,998,490,1418,46,5111,0,0,-249
2011-05-01,2148,5298,1437,497,1424,151,5649,0,0,-351
2011-05-01,2183,5524,1564,495,1418,198,5860,0,0,-336
2011-05-02,2219,5022,1069,460,1420,117,5280,0,0,-259
2011-05-02,2977,6480,1976,542,1421,132,7045,0,0,-566
2011-05-02,3136,7085,2460,501,1405,106,7610,0,0,-525
2011-05-02,3114,7171,2621,550,1416,11,7711,0,0,-540
2011-05-03,2839,5770,1379,450,1410,42,6123,0,0,-353
2011-05-03,3158,7123,2405,520,1415,58,7553,0,0,-430
2011-05-03,3220,6854,2258,477,1408,23,7385,0,0,-531
2011-05-03,3179,7472,2829,529,1416,30,7983,0,0,-512
2011-05-04,2661,5662,1271,452,1407,97,5891,0,0,-229
2011-05-04,3166,7547,2828,526,1396,148,8067,0,0,-520
2011-05-04,3098,6789,2295,455,1380,152,7375,0,0,-586
2011-05-05,2564,6024,1511,458,1411,355,6297,0,0,-273
2011-05-05,2685,6209,1452,444,1409,411,6408,0,0,-199
2011-05-05,2917,7477,2881,460,1407,293,7958,0,0,-481
2011-05-05,2973,6977,2438,462,1415,145,7433,0,0,-457
2011-05-06,2545,5854,1311,413,1413,291,5970,0,0,-116
2011-05-06,2675,6935,2331,456,1412,431,7297,0,0,-362
2011-05-06,2739,6978,2231,480,1410,369,7247,0,0,-269
2011-05-06,2857,7095,2949,501,1259,12,7580,0,0,-485
2011-05-07,2859,5921,2055,419,704,8,6054,0,0,-133
2011-05-07,3156,6444,2350,492,702,5,6704,0,0,-261
2011-05-07,3144,6218,2150,495,708,25,6525,0,0,-307
2011-05-07,3139,7080,2582,504,708,332,7265,0,0,-185
2011-05-08,2792,5420,1370,418,712,342,5634,0,0,-214
2011-05-08,3016,5846,1713,490,713,239,6166,0,0,-321
2011-05-08,3005,5661,1616,442,714,209,5980,0,0,-320
2011-05-08,3053,6073,2013,502,712,13,6290,0,0,-217
2011-05-09,3062,5594,1442,445,710,81,5741,0,0,-147
2011-05-09,3157,7414,3428,474,714,10,7780,0,0,-366
2011-05-09,2864,6802,2827,617,698,133,7136,0,0,-335
2011-05-10,3020,5989,1895,549,712,65,6242,0,0,-253
2011-05-10,3025,6337,2321,609,711,8,6673,0,0,-336
2011-05-10,2947,6985,2881,739,711,78,7355,0,0,-369
2011-05-10,2970,7179,2916,781,714,217,7600,0,0,-421
2011-05-11,2753,5790,1344,692,714,188,5687,0,0,102
2011-05-11,2903,7059,2840,914,714,104,7473,0,0,-414
2011-05-11,2894,6807,2755,763,714,112,7239,0,0,-431
2011-05-11,2857,7596,3420,929,716,79,7998,0,0,-403
2011-05-12,2927,5726,1241,741,709,37,5660,0,0,66
2011-05-12,3171,7265,2837,923,683,6,7617,0,0,-352
2011-05-12,3042,6510,2493,705,713,19,6972,0,0,-461
2011-05-12,3023,6748,2561,846,712,2,7140,0,0,-392
2011-05-13,2993,5762,1463,629,709,28,5827,0,0,-64
2011-05-13,3142,6768,2694,675,713,36,7261,0,0,-493
2011-05-13,3042,6484,2347,618,711,47,6768,0,0,-284
2011-05-14,2905,6037,1839,661,718,117,6236,0,0,-199
2011-05-14,2391,5207,1342,571,711,381,5395,0,0,-188
2011-05-14,2492,6040,2338,673,711,58,6275,0,0,-236
2011-05-14,2425,5789,2186,604,711,3,5921,0,0,-132
2011-05-15,2460,5224,1474,604,708,13,5258,0,0,-34
2011-05-15,2294,5119,1498,611,717,83,5199,0,0,-81
2011-05-15,2461,5473,1725,650,709,112,5656,0,0,-183
2011-05-15,2462,5646,1974,629,708,215,5986,0,0,-340
2011-05-16,2270,4866,1063,616,706,246,4901,0,0,-35
2011-05-16,2950,6799,2773,702,710,86,7222,0,0,-423
2011-05-16,2851,6609,2547,687,693,347,7125,0,0,-516
2011-05-16,3052,7000,2722,670,706,315,7464,0,0,-465
2011-05-17,3040,5577,1189,616,709,43,5601,0,0,-24
2011-05-17,3215,6948,2733,699,709,6,7363,0,0,-415
2011-05-17,3124,6561,2423,607,707,73,6933,0,0,-372
2011-05-17,3232,6403,2095,626,707,49,6708,0,0,-305
2011-05-18,2991,5543,1237,600,709,15,5556,0,0,13
2011-05-18,3267,6888,2613,666,704,28,7275,0,0,-388
2011-05-18,3120,6316,2245,648,707,79,6799,0,0,-482
2011-05-19,3248,5955,1685,623,709,52,6317,0,0,-362
2011-05-19,2917,5845,1428,618,707,232,5902,0,0,-58
2011-05-19,3142,6838,2469,682,709,286,7293,0,0,-455
2011-05-19,3233,6632,2467,707,705,3,7111,0,0,-479
2011-05-20,3049,5662,1273,631,705,95,5758,0,0,-96
2011-05-20,3286,6594,2295,625,710,42,6957,0,0,-363
2011-05-20,3367,6766,2222,716,707,209,7219,0,0,-453
2011-05-20,3485,7001,2528,722,708,51,7493,0,0,-492
2011-05-21,2878,5407,1283,557,705,148,5571,0,0,-164
2011-05-21,3018,6021,2047,556,710,3,6325,0,0,-304
2011-05-21,2966,5779,1798,558,708,14,6044,0,0,-265
2011-05-21,3075,6410,2273,589,711,59,6701,0,0,-291
2011-05-22,2632,4863,1211,553,708,2,5105,0,0,-242
2011-05-22,2896,5481,1638,551,711,3,5793,0,0,-311
2011-05-22,2815,5457,1659,552,703,1,5734,0,0,-277
2011-05-22,2934,5586,1691,552,707,2,5879,0,0,-293
2011-05-23,2804,5007,1063,549,706,23,5143,0,0,-136
2011-05-23,3393,6950,2466,720,707,2,7283,0,0,-334
2011-05-23,3362,6623,2168,665,705,3,6910,0,0,-286
2011-05-24,3166,5688,1334,623,707,23,5852,0,0,-164
2011-05-24,3160,6321,1918,625,709,22,6427,0,0,-106
2011-05-24,3342,7170,2604,726,706,25,7402,0,0,-232
2011-05-24,3265,6748,2357,703,706,0,7027,0,0,-279
2011-05-25,2901,5540,1316,641,711,0,5567,0,0,-27
2011-05-25,3270,6616,2310,621,705,1,6907,0,0,-292
2011-05-25,3189,6806,2351,791,682,2,7009,0,0,-203
2011-05-25,3244,7076,2572,728,704,100,7348,0,0,-272
2011-05-26,2644,5376,1056,676,705,341,5421,0,0,-46
2011-05-26,3347,6864,2161,667,694,252,7122,0,0,-258
2011-05-26,3293,6551,2066,696,708,33,6791,0,0,-240
2011-05-27,3212,6178,1524,684,699,35,6156,0,0,22
2011-05-27,2845,5558,1232,686,706,80,5549,0,0,9
2011-05-27,3218,6927,2409,839,678,47,7194,0,0,-266
2011-05-27,3023,6405,2090,701,701,63,6582,0,0,-177
2011-05-28,2580,5663,1530,700,704,7,5521,0,0,141
2011-05-28,2505,5754,1763,706,707,15,5692,0,0,62
2011-05-28,2576,5994,2130,829,703,15,6253,0,0,-259
2011-05-28,2569,6060,2166,741,703,24,6204,0,0,-144
2011-05-29,2478,4981,1195,566,705,1,4943,0,0,38
2011-05-29,2421,5306,1534,551,705,122,5331,0,0,-25
2011-05-29,2570,5370,1638,552,703,28,5494,0,0,-125
2011-05-29,2760,6230,2263,614,706,52,6395,0,0,-164
2011-05-30,2359,4860,978,563,703,186,4787,0,0,74
2011-05-30,3299,6718,2078,626,691,141,6835,0,0,-117
2011-05-30,3233,6521,1903,625,705,133,6600,0,0,-79
2011-05-31,2922,5546,1201,631,705,31,5489,0,0,57
2011-05-31,2950,6303,2041,629,704,56,6381,0,0,-78
2011-05-31,3046,6933,2651,707,695,20,7121,0,0,-188
2011-05-31,3076,6745,2362,696,694,35,6865,0,0,-120
2011-06-01,3012,5517,961,644,689,3,5309,0,0,208
2011-06-01,3109,6898,2402,700,687,4,6897,0,0,2
2011-06-01,3087,6926,2341,725,822,14,6983,0,0,-57
2011-06-01,3120,7328,2653,734,700,9,7215,0,0,112
2011-06-02,2847,5476,962,650,882,41,5380,0,0,95
2011-06-02,3119,6834,1913,637,1141,12,6820,0,0,14
2011-06-02,2770,6417,1639,661,1249,146,6458,0,0,-41
2011-06-02,2692,6401,1476,635,1386,165,6360,0,0,41
2011-06-03,2288,5517,900,620,1401,312,5517,0,0,0
2011-06-03,2970,7000,2052,685,1379,56,7142,0,0,-143
2011-06-03,2920,6663,1858,622,1391,36,6827,0,0,-164
2011-06-04,2726,5928,1274,541,1395,1,5938,0,0,10
2011-06-04,2463,5305,979,537,1393,51,5427,0,0,-122
2011-06-04,2942,6406,1648,595,1399,17,6602,0,0,-196
2011-06-04,2610,6031,1526,548,1400,133,6215,0,0,-184
2011-06-05,2333,5276,989,516,1398,122,5362,0,0,-86
