date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2019-04-12,1755,6431,1721,559,1383,137,5607,-1,52,824
2019-04-12,1872,7657,2606,582,1323,244,7088,408,54,569
2019-04-12,1863,7726,2663,583,1382,518,7072,9,53,655
2019-04-13,1243,5848,1346,583,1383,1047,5651,0,49,197
2019-04-13,1410,7331,2418,591,1386,1019,6984,108,52,347
2019-04-13,1805,6992,2053,588,1384,606,6658,169,52,334
2019-04-13,1438,6546,1792,577,1388,1114,6355,0,45,191
2019-04-14,1353,5579,1130,579,1391,1575,6070,0,42,-491
2019-04-14,1350,6428,1476,581,1395,1891,7041,304,45,-612
2019-04-14,1380,6678,1752,589,1395,2098,7269,12,44,-591
2019-04-15,1411,5616,1409,580,1397,1718,6561,0,46,-944
2019-04-15,1686,7908,2744,590,1388,2114,8698,139,37,-790
2019-04-15,1377,7278,1457,771,1358,2338,7884,549,35,-607
2019-04-15,1542,7402,2783,942,1384,1152,7841,-1,39,-439
2019-04-16,1387,6045,1564,576,1392,1814,6769,0,36,-724
2019-04-16,1432,7711,1730,641,1360,2392,8364,773,36,-654
2019-04-16,1687,7392,1955,988,1377,1775,7960,137,40,-568
2019-04-17,1870,6283,2080,590,1390,338,6313,-1,45,-30
2019-04-17,1846,7818,3223,693,1390,151,7455,99,53,363
2019-04-17,1856,7459,2805,907,1378,236,7655,424,50,-196
2019-04-17,1843,7957,3144,1021,1390,212,7664,0,54,293
2019-04-18,1704,5948,1787,577,1381,493,5993,-1,51,-45
2019-04-18,2041,7993,2529,606,1322,1563,8456,335,58,-462
2019-04-18,2001,7421,2911,640,1326,439,7528,157,55,-108
2019-04-19,2054,6477,2428,647,1379,39,6601,-1,55,-124
2019-04-19,1790,7348,2278,614,1392,677,6862,58,54,486
2019-04-19,1920,7450,2282,612,1337,372,7117,537,58,333
2019-04-19,2002,8152,3281,642,1380,162,7517,-1,51,636
2019-04-20,1918,5909,2009,642,1390,456,6464,-1,50,-555
2019-04-20,1874,6867,1771,614,1389,1220,7564,646,50,-697
2019-04-20,1830,6492,1807,625,1387,693,6749,359,48,-257
2019-04-21,1966,6088,2015,625,1393,85,6129,0,46,-41
2019-04-21,1685,5555,1796,621,1388,293,5836,5,48,-281
2019-04-21,1479,5736,1601,618,1390,34,5819,651,46,-83
2019-04-21,1778,6633,2001,633,1389,761,6606,0,45,27
2019-04-22,1461,5376,1554,622,1388,252,5323,-1,46,52
2019-04-22,2005,7754,2401,638,1338,219,7041,390,50,712
2019-04-22,1716,7144,2110,618,1309,466,6663,395,50,481
2019-04-22,2049,6665,1979,616,1377,275,6330,-1,35,335
2019-04-23,1564,6246,1743,613,1382,205,5553,0,47,693
2019-04-23,2107,7810,2454,625,1353,1155,8172,430,49,-362
2019-04-23,2200,7653,2665,665,1379,756,7719,3,51,-67
2019-04-24,1844,6121,1304,624,1387,1096,6303,0,49,-182
2019-04-24,2196,8039,2897,667,1391,511,7939,226,51,100
2019-04-24,2020,7383,1514,817,1366,1515,8028,744,51,-645
2019-04-24,2026,7215,1964,605,1383,1213,7239,0,48,-23
2019-04-25,1825,6108,1644,612,1390,744,6261,0,47,-153
2019-04-25,1677,7383,2019,596,1332,1045,7544,827,48,-161
2019-04-25,1762,6937,2203,605,1379,1078,7179,107,45,-242
2019-04-26,1945,5864,1733,590,1387,594,6294,-1,45,-430
2019-04-26,1820,6040,2081,582,1384,522,6684,251,45,-644
2019-04-26,1621,6052,1421,569,1384,1307,7062,718,42,-1010
2019-04-26,1665,6887,2014,572,1381,1427,7101,0,42,-214
2019-04-27,1511,5022,1270,561,1386,1471,6238,0,40,-1216
2019-04-27,1305,6076,1221,566,1388,1627,6779,631,41,-703
2019-04-27,1464,6159,1727,563,1389,1432,6738,125,38,-579
2019-04-28,1552,5187,1315,565,1387,1626,6484,0,39,-1296
2019-04-28,1129,4616,1260,551,1385,908,5340,65,42,-724
2019-04-28,947,4798,868,559,1390,1654,6051,594,39,-1254
2019-04-28,1232,5695,2038,565,1388,1243,6503,0,38,-808
2019-04-29,1058,4517,1812,547,1386,741,5580,-1,36,-1062
2019-04-29,1049,5036,2220,715,1387,184,6126,533,39,-1090
2019-04-29,943,4928,1497,878,1386,986,6061,332,39,-1133
2019-04-30,1265,5004,1873,553,1390,602,5716,0,35,-712
2019-04-30,1126,4890,1715,556,1390,95,4936,15,38,-46
2019-04-30,1182,5906,2312,808,1369,77,6182,396,39,-276
2019-04-30,1239,6631,2663,736,1372,867,6916,-1,39,-285
2019-05-01,962,5070,1272,522,1381,2105,6280,0,38,-1210
2019-05-01,944,6489,1727,823,1383,2462,7696,317,40,-1207
2019-05-01,890,6068,1071,919,1383,2486,7197,409,41,-1129
2019-05-01,1300,5733,1940,520,1387,1051,6233,0,36,-500
2019-05-02,1421,5513,1995,513,1384,99,5448,2,35,64
2019-05-02,1477,6984,2747,469,1346,291,7042,668,43,-58
2019-05-02,1527,6893,3053,477,1375,440,6932,17,42,-39
2019-05-03,1243,5464,2224,477,1390,489,5865,-1,42,-401
2019-05-03,1557,6678,2754,477,949,66,6357,506,48,321
2019-05-03,1641,6463,2768,478,670,392,6524,530,46,-61
2019-05-03,1555,6313,2812,482,684,587,6160,-1,41,153
2019-05-04,1484,5455,2151,477,679,303,5132,-1,38,323
2019-05-04,1651,6408,2751,481,685,295,6513,612,38,-105
2019-05-04,1698,6264,2891,463,680,1253,7080,55,39,-816
2019-05-05,1581,5264,2364,462,683,1408,6537,-1,38,-1273
2019-05-05,1271,5527,2173,469,685,1862,6696,199,38,-1170
2019-05-05,1165,5636,1788,465,680,2242,6771,393,40,-1135
2019-05-05,1227,6388,2689,464,683,2336,7438,0,39,-1049
2019-05-06,1185,5194,1681,464,683,1956,6001,0,34,-807
2019-05-06,1756,7179,2662,477,623,1294,7204,349,42,-25
2019-05-06,1596,7086,2799,474,665,2146,7753,46,28,-668
2019-05-07,1938,5767,2663,477,673,716,6500,0,34,-733
2019-05-07,2061,7271,3228,532,679,1141,7752,65,47,-481
2019-05-07,2016,7346,3499,539,677,630,7686,281,44,-339
2019-05-07,1939,7653,3604,493,682,1074,7841,-1,50,-188
2019-05-08,1690,5653,2486,473,680,1210,6589,-1,50,-936
2019-05-08,1627,7380,3126,448,640,2034,8432,507,50,-1052
2019-05-08,1803,6983,3186,452,671,1410,7727,151,54,-744
2019-05-09,1521,6057,2453,455,682,847,6010,-1,52,47
2019-05-09,2074,6984,3392,466,683,131,6898,99,54,86
2019-05-09,1964,7223,3476,464,659,108,7272,542,59,-49
2019-05-09,2028,7978,3525,464,666,1593,8332,-1,56,-354
2019-05-10,1982,5679,2424,444,676,1018,6593,-1,51,-915
2019-05-10,1972,7615,3800,491,638,199,7426,275,52,189
2019-05-10,1959,7170,3494,507,675,169,7110,253,53,60
2019-05-10,1861,6275,2862,454,682,50,5951,0,42,324
2019-05-11,1756,5656,2727,444,680,92,5748,10,39,-92
2019-05-11,1518,6551,2981,441,683,186,6524,673,41,27
2019-05-11,1736,6595,3389,447,683,-15,6279,8,31,317
2019-05-12,1407,5177,2329,431,679,15,4880,-1,21,297
2019-05-12,1363,5633,2711,425,681,13,5756,541,22,-123
2019-05-12,1304,5476,2345,426,686,346,5709,580,22,-233
2019-05-12,1672,5854,2879,429,681,174,5860,0,25,-6
2019-05-13,1378,5494,2423,428,684,195,5139,0,30,355
2019-05-13,1410,6971,3062,446,656,262,6640,769,34,330
2019-05-13,1605,6862,3374,450,668,141,6333,64,32,529
2019-05-14,1617,5567,2421,432,681,108,5285,-1,26,282
2019-05-14,1827,7448,3388,446,679,388,6829,73,29,619
2019-05-14,1909,7387,3882,495,679,245,7412,169,32,-25
2019-05-14,1385,6981,2975,445,676,1600,7109,0,29,-128
2019-05-15,1963,5808,2725,438,681,401,6234,0,26,-427
2019-05-15,1451,7354,2886,438,634,2162,7956,356,29,-602
2019-05-15,1415,7130,3276,463,671,1748,7686,78,37,-557
2019-05-16,1477,5837,2477,435,682,556,5655,0,29,181
2019-05-16,1912,7448,3791,510,681,92,7067,48,32,382
2019-05-16,1391,7126,3443,473,639,683,7013,350,33,114
2019-05-17,1448,5649,2712,435,679,119,5422,0,28,227
2019-05-17,1439,6917,3212,499,677,625,6589,102,35,328
2019-05-18,1206,6641,3186,454,684,945,6851,345,31,-209
2019-05-18,1119,6010,3232,450,682,606,6113,0,24,-103
2019-05-19,1139,5621,3303,480,683,72,6192,492,23,-571
2019-05-19,1244,5495,3197,469,677,58,6167,499,24,-672
2019-05-19,1361,5624,3381,429,680,297,6174,0,26,-551
2019-05-20,1123,5512,2530,430,681,1133,5935,6,32,-423
2019-05-20,1246,6992,3342,411,656,1898,8141,556,32,-1148
2019-05-20,1183,7160,3679,484,667,1864,7915,3,34,-756
2019-05-21,1271,5437,2583,424,681,1063,6050,0,27,-613
2019-05-21,1380,6932,3624,476,673,284,6993,524,31,-61
2019-05-21,1275,6565,3546,475,677,283,6675,385,37,-110
2019-05-22,1263,5786,2645,438,674,532,5585,0,33,201
2019-05-22,1263,6080,2965,436,679,770,6183,39,31,-103
2019-05-22,1262,7009,3652,473,663,898,7657,674,35,-647
2019-05-22,1275,6933,4044,487,669,871,7382,3,32,-449
2019-05-23,1182,5399,3245,431,676,936,6498,0,28,-1099
2019-05-23,1383,7213,4037,685,629,424,7642,455,30,-430
2019-05-23,1185,6894,3868,859,662,706,7723,406,36,-828
2019-05-23,1123,6211,3699,851,676,747,7129,0,32,-918
2019-05-24,1097,5682,3096,437,678,502,5846,3,33,-164
2019-05-24,1114,6968,3898,480,672,256,7028,573,36,-60
2019-05-24,1350,6894,4362,493,672,59,6994,25,33,-100
2019-05-25,1183,5455,3487,423,678,238,6032,0,23,-577
2019-05-25,935,6402,4120,435,674,587,7045,271,23,-642
2019-05-25,939,6199,3854,469,681,721,7204,516,24,-1005
2019-05-25,1142,6256,4076,482,676,422,6820,0,22,-564
2019-05-26,932,4784,3222,421,681,739,6018,0,22,-1235
2019-05-26,891,5448,3289,461,682,366,6471,758,25,-1023
2019-05-26,1112,5602,3873,472,682,75,6380,141,24,-778
2019-05-27,1049,4928,2928,409,681,413,5505,2,23,-577
2019-05-27,1546,6781,3812,442,681,23,6813,279,31,-32
2019-05-27,1464,6940,3702,438,662,1302,8061,461,32,-1121
2019-05-27,1622,7059,4017,474,663,1084,7885,0,24,-826
2019-05-28,1273,5376,3042,424,681,1017,6458,0,21,-1082
2019-05-28,1233,7018,3300,413,682,1951,8257,652,28,-1240
2019-05-28,1460,6812,3366,426,681,1931,8106,211,29,-1294
2019-05-29,1434,5616,3143,414,678,1162,6856,0,26,-1240
