date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2015-04-12,1470,4850,1968,401,1418,67,5389,-1,66,-538
2015-04-12,1547,4550,1886,377,1417,39,5947,613,69,-1397
2015-04-12,1532,4410,1766,398,1422,50,5544,307,69,-1134
2015-04-12,1435,4919,2037,387,1419,418,5760,-1,66,-842
2015-04-13,1318,4589,1016,404,1424,1441,5668,-1,66,-1080
2015-04-13,1352,4594,1986,412,1420,219,6133,681,65,-1539
2015-04-13,1409,4750,2169,387,1425,384,6047,207,65,-1297
2015-04-14,1584,4937,1805,387,1421,1107,6365,-1,62,-1428
2015-04-14,1371,5193,1531,384,1419,1751,6516,-1,62,-1323
2015-04-14,1834,6322,2758,403,1417,626,7681,578,65,-1359
2015-04-14,2011,6253,3018,397,1416,206,7210,98,65,-957
2015-04-15,1950,5524,1923,404,1420,105,5846,-1,45,-321
2015-04-15,2018,6290,2433,425,1418,96,6462,12,61,-172
2015-04-15,1939,6849,2523,506,1395,1153,8187,607,64,-1338
2015-04-15,1763,6553,2373,500,1416,1667,7797,14,64,-1243
2015-04-16,1701,5533,2430,489,1419,814,6916,-1,64,-1383
2015-04-16,2066,6401,2850,491,1421,595,7542,56,64,-1142
2015-04-16,1607,6539,1986,434,1417,1725,7929,696,64,-1389
2015-04-16,1958,6892,3105,491,1411,1243,8273,-1,65,-1381
2015-04-17,1863,5523,2195,446,1422,1051,7036,-1,60,-1513
2015-04-17,1931,6635,3078,456,1420,778,7889,162,63,-1254
2015-04-17,1594,6196,2599,445,1396,870,7678,710,63,-1482
2015-04-17,1888,7240,2832,439,1392,2017,8630,-1,63,-1390
2015-04-18,1877,5387,2397,449,1406,782,6970,-1,60,-1583
2015-04-18,1917,6131,2593,451,1390,994,7579,172,63,-1448
2015-04-18,1918,6131,2523,448,1372,1039,7671,309,63,-1540
2015-04-18,1937,7037,3411,490,1401,669,7967,-1,61,-930
2015-04-19,1406,5135,1501,433,1411,1772,6587,-1,65,-1451
2015-04-19,1418,5541,2024,430,1417,1348,6997,299,62,-1456
2015-04-19,1527,5226,1888,430,1419,990,6735,417,63,-1508
2015-04-19,1903,6517,3251,478,1407,358,7445,-1,48,-928
2015-04-20,1693,5016,1813,433,1413,843,6235,-1,42,-1218
2015-04-20,2273,6938,2655,457,1415,1015,8361,503,44,-1423
2015-04-20,2156,6888,2810,439,1389,1413,8304,51,46,-1416
2015-04-21,2149,5877,1933,435,1413,1251,7223,-1,43,-1346
2015-04-21,2259,6669,2304,447,1416,1405,7884,12,43,-1216
2015-04-21,2432,7213,2988,556,1356,683,8503,444,43,-1289
2015-04-21,2385,7056,2900,555,1408,491,7799,11,49,-742
2015-04-22,1697,5692,1864,510,1406,666,6181,0,39,-489
2015-04-22,2318,6933,2683,560,1422,523,7601,57,39,-669
2015-04-22,2101,7209,2114,566,1393,1710,8532,607,42,-1323
2015-04-22,2314,7587,3271,619,1410,388,8041,-1,41,-454
2015-04-23,2023,5648,1779,522,1420,520,6300,-1,39,-652
2015-04-23,2257,6768,2753,564,1399,90,7349,248,37,-581
2015-04-23,2093,6285,2405,524,1381,161,7339,742,32,-1054
2015-04-23,2232,7448,3260,550,1402,1157,8637,-1,37,-1189
2015-04-24,2113,5594,1936,543,1406,1080,7112,-1,34,-1518
2015-04-24,2358,6879,3000,604,1412,93,7891,397,27,-1012
2015-04-24,2293,6466,2516,521,1372,181,7554,635,36,-1087
2015-04-24,2332,7368,3058,577,1412,1108,8525,-1,39,-1157
2015-04-25,1983,5332,1953,418,1409,250,6052,-1,40,-720
2015-04-25,2135,6008,2327,437,1409,135,6910,427,40,-901
2015-04-25,1612,5618,2183,431,1413,377,6600,543,41,-981
2015-04-25,2168,6431,2807,443,1415,390,7261,-1,39,-830
2015-04-26,1699,4981,1781,414,1418,32,5382,-1,39,-400
2015-04-26,1654,5221,2021,419,1414,36,6151,570,37,-930
2015-04-26,1624,5072,1727,416,1417,338,6019,456,41,-947
2015-04-26,1880,5742,1898,425,1415,1200,6863,-1,46,-1121
2015-04-27,1628,4938,1519,428,1417,713,5746,-1,43,-809
2015-04-27,1980,6416,2264,439,1375,617,7305,590,40,-889
2015-04-27,2004,6286,2406,437,1373,815,7427,341,50,-1141
2015-04-27,2035,5965,2251,439,1404,1074,7252,-1,50,-1287
2015-04-28,2149,5462,1910,449,1415,755,6727,-1,50,-1265
2015-04-28,2270,6820,2956,459,1370,940,8286,241,50,-1466
2015-04-28,2186,6648,2592,555,1406,1244,8126,88,55,-1478
2015-04-29,2208,5955,2167,549,1409,935,7323,-1,54,-1368
2015-04-29,1976,5799,1928,511,1416,136,6021,-1,54,-222
2015-04-29,2080,6928,2466,473,1394,497,7162,197,55,-234
2015-04-29,2251,6885,2804,513,1400,1016,8084,52,49,-1199
2015-04-30,1602,5909,1839,357,1411,2131,7385,-1,46,-1476
2015-04-30,1963,6164,1987,462,1414,1351,7236,4,56,-1072
2015-04-30,2061,6761,2591,483,1401,594,7651,464,57,-890
2015-04-30,2110,6518,2685,507,1409,5,6817,44,58,-299
2015-05-01,1410,5292,2070,515,1413,21,5483,-1,55,-191
