date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2016-04-12,1327,6080,1815,882,1414,-17,5466,-1,45,614
2016-04-12,1445,6835,2352,882,1383,-10,6602,508,42,233
2016-04-12,1335,6562,2357,832,1421,45,6127,87,50,434
2016-04-13,1368,5600,2051,794,1418,148,5828,-1,49,-228
2016-04-13,1525,6655,2403,956,1421,248,6624,22,49,32
2016-04-13,1492,6624,2225,813,1360,281,6992,771,51,-369
2016-04-13,1631,7130,2287,893,1408,514,6782,-1,51,348
2016-04-14,1350,5369,1946,905,1415,345,6009,-1,50,-640
2016-04-14,1627,6826,2484,840,1405,267,6831,158,50,-5
2016-04-14,1672,6751,2568,836,1384,567,7317,240,49,-566
2016-04-14,1699,7505,3038,871,1402,796,7853,-1,49,-348
2016-04-15,1218,5397,1700,486,1409,1770,6630,-1,48,-1233
2016-04-15,1537,7229,2530,884,1409,1997,8642,238,47,-1414
2016-04-15,1562,6631,2176,910,1388,1342,8035,608,50,-1404
2016-04-15,1666,7115,3038,889,1413,161,7215,-1,48,-100
2016-04-16,1152,5359,1709,505,1404,63,4879,-1,47,480
2016-04-16,1173,6119,2088,536,1412,139,6047,651,48,73
2016-04-16,1133,5802,2066,512,1410,460,6098,469,49,-296
2016-04-16,1050,5916,2118,509,1410,1390,6525,-1,48,-609
2016-04-17,1106,4951,1788,494,1410,286,5136,-1,53,-185
2016-04-17,1150,5251,2000,499,1412,146,5967,704,55,-716
2016-04-17,1167,5290,2104,519,1411,388,5818,175,55,-528
2016-04-18,1157,5100,1888,558,1411,835,5902,-1,54,-802
2016-04-18,1427,5735,2025,608,1412,339,5867,2,54,-132
2016-04-18,1519,6799,2502,925,1385,385,7534,766,53,-736
2016-04-18,1388,6427,2646,882,1391,565,6945,20,53,-518
2016-04-19,1051,5310,1508,739,1395,1137,5879,-1,50,-568
2016-04-19,1329,6854,1919,834,1407,1553,7132,41,50,-278
2016-04-19,1156,6789,2658,891,1407,932,7396,300,52,-607
2016-04-19,1452,7333,2827,899,1409,590,7244,16,52,89
2016-04-20,1070,5367,1506,789,1408,1355,6178,-1,51,-812
2016-04-20,1514,7270,2772,822,1370,2056,8651,66,52,-1381
2016-04-20,1047,7086,2179,802,1403,2589,8416,345,51,-1330
2016-04-20,1404,7371,2580,692,1402,1944,8073,-1,52,-701
2016-04-21,1045,5512,1792,717,1411,1764,6778,-1,51,-1266
2016-04-21,1473,7031,2780,860,1338,808,7927,616,51,-896
2016-04-21,1490,6520,2684,824,1336,561,7477,530,52,-957
2016-04-21,1234,6443,2571,871,1402,108,6238,-1,54,205
2016-04-22,1013,5572,1494,681,1411,1027,5679,-1,53,-107
