date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2018-04-12,1098,6914,2796,548,1353,210,6881,846,29,34
2018-04-12,1252,6906,2944,541,1388,398,6570,14,33,336
2018-04-13,1188,5624,2527,534,1389,275,5942,0,28,-318
2018-04-13,1473,7040,3326,499,1401,310,7223,185,29,-183
2018-04-13,1235,6690,2962,478,1382,295,7099,719,27,-409
2018-04-13,1498,7424,3324,497,1401,558,7308,2,29,116
2018-04-14,1403,5490,2438,472,1406,268,6015,0,28,-526
2018-04-14,1401,6536,2811,465,1401,38,6593,451,27,-57
2018-04-14,1352,6190,2781,464,1406,281,7002,690,28,-812
2018-04-14,1500,6943,3386,496,1404,523,7337,0,29,-394
2018-04-15,1280,5194,2459,485,1399,331,5979,-1,25,-785
2018-04-15,1423,5809,2800,462,1409,365,6907,422,26,-1098
2018-04-15,1194,5702,2369,473,1407,1016,6768,284,25,-1066
2018-04-15,1166,5887,2510,476,1407,1348,6931,0,25,-1043
2018-04-16,1125,5436,2262,479,1397,1061,6349,0,25,-912
2018-04-16,1190,7012,2873,451,1340,1369,7702,452,26,-690
2018-04-16,1340,6876,3192,454,1369,1042,7528,103,28,-652
2018-04-17,1137,5912,2776,432,1383,1013,6769,0,29,-857
2018-04-17,1254,6232,2387,422,1404,1083,6579,0,28,-347
2018-04-17,1554,7225,3384,422,1387,279,7418,363,30,-193
2018-04-17,1561,7330,3611,360,1403,541,7511,3,32,-181
2018-04-18,1561,5682,2585,359,1401,94,6032,0,33,-350
2018-04-18,1633,7143,3170,433,1402,247,6962,48,30,181
2018-04-18,1263,6895,2950,416,1351,301,6865,552,31,30
2018-04-18,1775,7771,3643,466,1394,605,7912,0,30,-141
2018-04-19,1135,5681,2471,409,1399,1168,6611,0,30,-930
2018-04-19,1250,7134,2408,407,1405,1891,7780,386,33,-646
2018-04-19,932,6855,2847,407,1378,1609,7848,643,33,-993
2018-04-19,1259,7178,3621,445,1399,1276,8034,0,34,-856
2018-04-20,904,5460,2391,400,1399,1623,6748,0,30,-1288
