date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2017-04-12,1452,7239,1994,956,1426,2113,8010,19,50,-771
2017-04-12,1541,7326,2266,1372,1404,148,7331,550,50,-5
2017-04-12,1664,7758,2407,1391,1421,128,7060,-1,50,699
2017-04-13,1524,5970,1688,1333,1427,254,6270,-1,45,-300
2017-04-13,1513,7500,2145,1344,1417,118,6819,233,49,681
2017-04-13,1526,6985,2013,1316,1372,206,7019,536,49,-34
2017-04-13,1534,7610,2413,1331,1416,475,7217,-1,49,393
2017-04-14,1531,5842,1309,1225,1423,589,6110,0,34,-268
2017-04-14,1462,6728,1876,1176,1396,238,6719,533,38,9
2017-04-14,1370,6544,1797,1132,1417,127,6245,356,45,299
2017-04-14,1574,6514,2413,1220,1418,206,6874,-1,44,-360
2017-04-15,1237,5409,1116,1146,1420,226,5187,-1,42,222
2017-04-15,1251,6161,2132,1127,1423,13,6681,693,43,-520
2017-04-15,1072,5841,1606,1105,1427,826,6273,201,35,-432
2017-04-16,1128,5342,932,908,1418,1560,5980,-1,33,-638
2017-04-16,1050,4712,705,605,1422,1323,5136,0,31,-425
2017-04-16,1204,4737,1119,593,1429,398,5223,447,34,-487
2017-04-16,1229,5033,1334,580,1427,238,4858,17,34,175
2017-04-17,1188,4695,1505,558,1416,561,5258,-1,30,-563
2017-04-17,913,4926,1000,594,1428,2016,6005,24,30,-1078
2017-04-17,921,5385,906,540,1420,2259,6408,328,33,-1022
2017-04-17,1283,6337,3233,580,1421,507,7055,-1,32,-718
2017-04-18,1098,4970,1237,600,1422,1249,5633,-1,27,-662
2017-04-18,1410,6745,2599,1013,1424,1068,7762,216,31,-1017
2017-04-18,1408,6468,2075,1130,1419,1173,7773,534,34,-1305
2017-04-18,1694,7476,2513,1223,1421,45,6929,-1,34,547
2017-04-19,1599,5598,1139,1189,1423,215,5595,-1,31,3
2017-04-19,1411,8039,3298,1222,1350,510,7954,132,33,85
2017-04-19,1792,7540,2352,1216,1359,1979,8858,128,32,-1318
2017-04-19,1616,7347,1673,1157,1401,2539,8420,-1,34,-1073
2017-04-20,1663,6128,1457,1188,1415,1633,7384,-1,31,-1256
2017-04-20,1987,7904,2816,1203,1342,1061,8607,167,30,-702
2017-04-20,1958,7709,2292,1178,1385,1883,8822,92,34,-1113
2017-04-21,1593,6707,1137,958,1411,2719,7846,-1,28,-1140
2017-04-21,1696,6418,1173,948,1429,2461,7738,-1,32,-1320
2017-04-21,1740,7589,1577,1118,1404,2576,8891,442,35,-1302
2017-04-21,1702,7266,2383,797,1411,1964,8364,71,37,-1099
2017-04-22,1579,6237,1795,775,1428,1787,7397,-1,33,-1160
2017-04-22,1613,6481,1793,770,1425,1278,6963,49,36,-482
2017-04-22,1785,6813,2122,815,1424,855,7714,677,36,-901
2017-04-22,1646,7297,2653,829,1425,572,7160,0,35,136
2017-04-23,1494,5686,1533,831,1421,564,5873,-1,31,-186
2017-04-23,1567,5952,2075,742,1421,237,6251,176,31,-299
2017-04-23,1410,5735,1305,766,1426,1002,6389,447,34,-654
2017-04-23,1816,7219,2789,822,1425,309,7194,-1,34,25
2017-04-24,1503,5552,1108,783,1422,1362,6206,-1,31,-654
2017-04-24,1927,7537,2357,813,1379,253,7280,517,33,258
2017-04-24,1976,7063,2422,807,1359,356,7372,414,37,-309
2017-04-24,1967,7404,1938,788,1408,803,6943,0,40,460
2017-04-25,2128,6087,1806,828,1426,582,6811,0,40,-724
2017-04-25,2138,7354,1944,769,1424,832,7833,687,41,-479
2017-04-25,1568,6948,1534,752,1423,2469,8159,371,44,-1211
2017-04-25,1861,6654,1490,770,1428,2407,8000,0,44,-1346
2017-04-26,1892,6263,1553,776,1425,1595,7280,0,40,-1017
2017-04-26,1990,7092,1849,753,1388,1352,8172,799,41,-1080
2017-04-26,1979,6784,1604,760,1417,1514,7447,133,41,-664
2017-04-27,1949,6034,1493,747,1422,1529,7178,-1,39,-1144
2017-04-27,2004,6741,1945,785,1417,783,7010,42,34,-269
2017-04-27,2040,7077,2031,750,1328,1056,8037,796,35,-960
2017-04-27,2008,7502,2123,729,1408,1340,7644,1,35,-142
2017-04-28,1523,5683,1305,770,1425,1409,6464,-1,32,-781
2017-04-28,2055,6962,2263,728,1407,731,7799,581,35,-837
2017-04-28,2006,6670,2073,697,1410,1447,7990,324,33,-1321
2017-04-28,1933,6333,1177,699,1418,2097,7355,-1,33,-1023
2017-04-29,1767,5625,1638,713,1422,1418,6986,-1,30,-1361
2017-04-29,1706,6320,2004,701,1424,1272,7547,407,33,-1227
2017-04-29,1830,6391,2231,720,1426,764,7062,59,32,-670
2017-04-30,2043,5636,2236,755,1420,244,6728,-1,31,-1092
2017-04-30,1418,5214,1821,687,1422,142,5525,5,31,-311
2017-04-30,1905,5732,2088,681,1422,70,6568,372,31,-836
2017-04-30,1874,5929,1859,715,1424,535,6462,21,33,-533
2017-05-01,1450,5014,1098,695,1418,1230,5921,-1,31,-907
2017-05-01,1601,5707,1788,678,1418,998,6637,120,34,-930
2017-05-01,1404,5588,1787,664,1423,488,6417,617,34,-829
2017-05-01,2014,6830,2520,741,1425,389,7123,0,35,-293
2017-05-02,1570,4938,1243,668,697,812,5020,-1,32,-82
2017-05-02,2257,7002,2783,712,669,78,7002,468,34,0
2017-05-02,2339,6560,2186,672,676,147,6715,661,34,-155
2017-05-02,2418,7150,3157,695,687,56,7046,0,35,104
2017-05-03,2287,5596,1504,620,695,241,5379,-1,32,217
2017-05-03,2292,6769,2020,631,692,184,6524,674,31,245
2017-05-03,2310,6551,1837,635,683,526,6409,377,41,143
2017-05-03,2233,6170,1795,630,690,489,5879,-1,42,290
2017-05-04,1929,5750,1436,622,690,844,5564,-1,44,186
2017-05-04,2095,6735,2070,605,685,237,6313,582,39,422
2017-05-04,2134,6656,2100,663,690,489,6243,128,40,413
2017-05-05,2096,5657,1633,614,683,429,5493,-1,38,164
2017-05-05,2040,6371,2005,639,700,16,5464,24,40,907
2017-05-05,2123,6985,2164,618,1015,138,6596,498,41,389
