temp,pot,,avg_t_200,,avg_t_100,,avg_p_100,,,t2,p2,,ta,ta100,,tp,tp50
71.195441,-1.0086932,,70.27457904,,70.08159139,,-1.073625158,,,71.624749,-0.36314854,,0,67.05576343,,-1.5152349,-1.771501718
70.076018,-1.0180497,,70.24580921,,70.07658239,,-1.074373061,,,71.789161,-0.36454785,,10.072322,67.74044357,,-1.5430155,-1.778088176
69.140782,-1.0263246,,70.23096569,,70.10737677,,-1.075093554,,,72.401037,-0.36585338,,9.195149,68.3565125,,-1.5372367,-1.78421888
68.485016,-1.033107,,70.22998969,,70.13621094,,-1.075714673,,,71.070363,-0.36650335,,9.0609196,68.97641982,,-1.5300535,-1.79056169
64.768829,-1.025957,,70.2371455,,70.12602657,,-1.076168324,,,,-0.36511125,,23.532549,69.57252592,,-1.5611491,-1.796847526
67.719733,-1.0333934,,70.2948796,,70.14139775,,-1.076684633,,,,-0.36626365,,37.986405,70.01889807,,-1.5863962,-1.80283958
69.86381,-1.0333976,,70.3122705,,70.14684474,,-1.077172671,,,,-0.3675787,,56.222485,70.30301625,,-1.6125504,-1.808326836
71.071257,-1.030407,,70.30858425,,70.18975199,,-1.077770725,,,,-0.36817092,,69.788139,70.40221031,,-1.6261148,-1.813367282
71.817071,-1.0260533,,70.2914274,,70.2318266,,-1.078393848,,,,-0.36796855,,82.703166,70.3945529,,-1.6436934,-1.818173182
71.31094,-1.0185021,,70.28478742,,70.2349372,,-1.0789938,,,,-0.37028059,,84.345307,70.26036199,,-1.6462198,-1.822537254
70.854909,-1.0122005,,70.27630092,,70.21042767,,-1.07965761,,,,-0.36963754,,82.253486,70.14536863,,-1.6660731,-1.826685744
74.551615,-1.0221712,,70.28073203,,70.15401946,,-1.080340661,,,,-0.37160811,,79.047237,70.02563569,,-1.6927485,-1.830427216
70.786121,-1.015883,,70.27226582,,70.07687841,,-1.080965487,,,,-0.37454811,,78.973069,69.95660128,,-1.7244089,-1.833744702
69.953352,-1.0205254,,70.27837995,,70.0475036,,-1.081655371,,,,-0.37305436,,71.270689,69.87735416,,-1.7280826,-1.836193366
71.088689,-1.0318819,,70.29023291,,70.06671625,,-1.082398437,,,,-0.37343896,,69.743212,69.8622626,,-1.745551,-1.838451528
71.27616,-1.0410441,,70.29406667,,70.06333675,,-1.08300167,,,,-0.37506663,,68.89129,69.85237375,,-1.7616728,-1.840441604
71.292267,-1.0519254,,70.28701363,,70.07439578,,-1.083591429,,,,-0.37591647,,70.927594,69.85017962,,-1.7839026,-1.84217056
69.862294,-1.0575827,,70.29117119,,70.08472165,,-1.08410728,,,,-0.37633087,,67.785694,69.84505003,,-1.7886519,-1.843694732
69.559744,-1.0648456,,70.29553733,,70.0493377,,-1.084419191,,,,-0.37502584,,69.705104,69.87646647,,-1.8050213,-1.845001296
69.965176,-1.0722052,,70.31734516,,70.01608806,,-1.084656058,,,,-0.3763177,,68.228529,69.86238561,,-1.8091721,-1.845977422
66.088695,-1.0650788,,70.33308294,,69.98910147,,-1.084809251,,,,-0.37495219,,70.882135,69.84582972,,-1.8243964,-1.846996906
66.346916,-1.0664713,,70.35275195,,70.03865917,,-1.085020539,,,,-0.37652696,,68.750719,69.81933624,,-1.825032,-1.847792144
67.64352,-1.0668487,,70.36727168,,70.09561716,,-1.085172831,,,,-0.37618546,,70.521141,69.82219179,,-1.8364374,-1.84856173
69.667577,-1.0668831,,70.36722638,,70.16496196,,-1.085386509,,,,-0.37750546,,68.657924,69.84214216,,-1.8353288,-1.848928486
72.873369,-1.0715163,,70.3786301,,70.17724907,,-1.085525107,,,,-0.37670779,,68.0219,69.87721303,,-1.8361201,-1.849319486
72.989458,-1.0710123,,70.35765024,,70.15326594,,-1.085658671,,,,-0.37984764,,70.126305,69.88718643,,-1.8427985,-1.849795176
69.555383,-1.0646449,,70.34659511,,70.11973316,,-1.08581699,,,,-0.37985087,,72.354352,69.85771003,,-1.8469789,-1.849967226
68.445751,-1.0670163,,70.34155855,,70.13293094,,-1.08610286,,,,-0.38033319,,69.295064,69.83071818,,-1.8355871,-1.850116372
66.358514,-1.0659794,,70.31845872,,70.13666438,,-1.086319241,,,,-0.38306481,,70.196304,69.84216249,,-1.8354662,-1.850461232
68.039329,-1.0737415,,70.32166304,,70.18091181,,-1.086596964,,,,-0.38446654,,70.606891,69.87315326,,-1.8345667,-1.850961866
72.948892,-1.0882331,,70.33980882,,70.22670933,,-1.086827024,,,,-0.38353785,,71.716066,69.93552188,,-1.837592,-1.851623034
70.723456,-1.0803602,,70.3373898,,70.23821133,,-1.086913203,,,,-0.38449161,,70.583112,69.96617606,,-1.8361334,-1.85222265
69.901652,-1.0764723,,70.36089454,,70.26013434,,-1.087042262,,,,-0.38320183,,70.161526,69.97100856,,-1.8368872,-1.852761106
70.402486,-1.0768312,,70.37882004,,70.26106886,,-1.087177645,,,,-0.38411495,,68.741747,69.97275586,,-1.833811,-1.853298504
68.765476,-1.0707336,,70.3724251,,70.21910377,,-1.087264194,,,,-0.38468373,,70.829547,69.9908412,,-1.839862,-1.854020142
67.987955,-1.0649661,,70.36219167,,70.20607719,,-1.087464171,,,,-0.38385012,,68.583411,69.98749448,,-1.83424,-1.854575418
71.127422,-1.0694181,,70.35614971,,70.23157986,,-1.087785772,,,,-0.38296811,,69.886516,70.01390111,,-1.8373621,-1.855380726
73.874069,-1.0740508,,70.33872988,,70.24118619,,-1.088066998,,,,-0.38429282,,72.346217,70.02119315,,-1.8439458,-1.856014186
71.777462,-1.067511,,70.32717516,,70.21698949,,-1.088239559,,,,-0.38587968,,73.800361,69.97810715,,-1.8496087,-1.856499772
68.001447,-1.0580959,,70.3239346,,70.22145587,,-1.088463939,,,,-0.38677719,,68.47465,69.91946364,,-1.837843,-1.85681849
