date,consum_avg
2019-12-03,8467
2019-12-04,8204
2019-12-05,9037
2019-12-05,6733
2019-12-06,8487
2019-12-07,6762
2019-12-08,7371
2019-12-08,6182
2019-12-09,8191
2019-12-10,8922
2019-12-11,7536
2019-12-11,6321
2019-12-12,8839
2019-12-13,8580
2019-12-14,7006
2019-12-15,7598
2019-12-15,6330
2019-12-16,8204
2019-12-17,6333
2019-12-18,8558
2019-12-18,6729
2019-12-19,7693
2019-12-20,8082
2019-12-21,8014
2019-12-21,6045
2019-12-22,7436
2019-12-23,7377
2019-12-24,6229
2019-12-25,6386
2019-12-25,5709
2019-12-26,6764
2019-12-27,6579
2019-12-28,6524
2019-12-29,7406
2019-12-29,5692
2019-12-30,7295
2019-12-31,6175
2020-01-01,6492
2020-01-01,6346
2020-01-02,6320
2020-01-03,6970
2020-01-04,7262
2020-01-04,5772
2020-01-05,6536
2020-01-06,7941
2020-01-07,7320
2020-01-08,8478
2020-01-09,7941
2020-01-10,8389
2020-01-11,7807
2020-01-12,7286
2020-01-12,5887
2020-01-13,8357
2020-01-14,8979
2020-01-15,8917
2020-01-15,6600
2020-01-16,8873
2020-01-17,8787
2020-01-18,8427
2020-01-18,6722
2020-01-19,7362
2020-01-20,9109
2020-01-21,8943
2020-01-21,6476
2020-01-22,8529
2020-01-23,8099
2020-01-24,8240
2020-01-24,6730
2020-01-25,7391
2020-01-26,6439
2020-01-26,6104
2020-01-27,8368
2020-01-28,8762
2020-01-29,8401
2020-01-29,6194
2020-01-30,8124
2020-01-31,7831
2020-02-01,7879
2020-02-01,6357
2020-02-02,6442
2020-02-03,7357
2020-02-03,5736
2020-02-04,8097
2020-02-05,8496
2020-02-06,8768
2020-02-06,6214
2020-02-07,8599
2020-02-08,6594
2020-02-08,6802
2020-02-09,6989
2020-02-10,8793
2020-02-11,6268
2020-02-12,8226
2020-02-12,6416
2020-02-13,8018
2020-02-14,8087
2020-02-15,6410
2020-02-15,6417
2020-02-16,6346
2020-02-17,8246
2020-02-18,8094
2020-02-18,6170
2020-02-19,7953
2020-02-20,7715
2020-02-21,8395
2020-02-21,6388
2020-02-22,7263
2020-02-23,6918
2020-02-23,5779
2020-02-24,7530
2020-02-25,8129
2020-02-26,8118
2020-02-26,6065
2020-02-27,8025
2020-02-28,7709
2020-02-29,7277
2020-02-29,6483
2020-03-01,6356
2020-03-02,7736
2020-03-02,5724
2020-03-03,7497
2020-03-04,7980
2020-03-05,8364
2020-03-05,5995
2020-03-06,7552
2020-03-07,6401
2020-03-07,5974
2020-03-08,6375
2020-03-09,8138
2020-03-10,8353
2020-03-10,5893
2020-03-11,7837
2020-03-12,6448
2020-03-12,6636
2020-03-13,7162
2020-03-14,6743
2020-03-15,7115
2020-03-15,5364
2020-03-16,7501
2020-03-17,7086
2020-03-18,7938
2020-03-18,6172
2020-03-19,6924
2020-03-20,7256
2020-03-21,6328
2020-03-22,6844
2020-03-22,5238
2020-03-23,7487
2020-03-24,7798
2020-03-25,7031
2020-03-25,5958
2020-03-26,7000
2020-03-27,6978
2020-03-28,6131
2020-03-28,5482
2020-03-29,5215
2020-03-30,6841
2020-03-31,7491
2020-03-31,5414
2020-04-01,6994
2020-04-02,6294
2020-04-03,6279
2020-04-03,5716
2020-04-04,6245
2020-04-05,6165
2020-04-05,5011
2020-04-06,6201
2020-04-07,6663
2020-04-08,6059
2020-04-08,5373
2020-04-09,5917
2020-04-10,6323
2020-04-11,6790
2020-04-11,5041
2020-04-12,4871
2020-04-13,5840
2020-04-14,6363
2020-04-14,5140
2020-04-15,6514
2020-04-16,6564
2020-04-16,5125
2020-04-17,5280
2020-04-18,5228
2020-04-19,4602
2020-04-19,4608
2020-04-20,4790
2020-04-21,5439
2020-04-21,4518
2020-04-22,5778
2020-04-23,5940
2020-04-24,5773
2020-04-25,5595
2020-04-25,4807
2020-04-26,4882
2020-04-27,6244
2020-04-28,6340
2020-04-28,4828
2020-04-29,6177
2020-04-30,5534
2020-05-01,5320
2020-05-01,4872
2020-05-02,5382
2020-05-03,5476
2020-05-03,4404
2020-05-04,6169
2020-05-05,6547
2020-05-06,6369
2020-05-06,4946
2020-05-07,6551
2020-05-08,5663
2020-05-09,5368
2020-05-09,5329
2020-05-10,4915
2020-05-11,6607
2020-05-11,4467
2020-05-12,6272
2020-05-13,5928
2020-05-14,6186
2020-05-14,5166
2020-05-15,6461
2020-05-16,6061
2020-05-16,4748
2020-05-17,5095
2020-05-18,6510
2020-05-19,6329
2020-05-19,4979
2020-05-20,6618
2020-05-21,5323
2020-05-22,6088
2020-05-22,5273
2020-05-23,5661
2020-05-24,5105
2020-05-24,4467
2020-05-25,6198
2020-05-26,6578
2020-05-27,5960
2020-05-27,5161
2020-05-28,6061
2020-05-29,6778
2020-05-30,5856
2020-05-30,4888
2020-05-31,5038
2020-06-01,4812
2020-06-02,6815
2020-06-03,6709
2020-06-04,5550
2020-06-05,6419
2020-06-05,5514
2020-06-06,5825
2020-06-07,5349
2020-06-07,4540
2020-06-08,5237
2020-06-09,6104
2020-06-10,6705
2020-06-10,5378
2020-06-11,6999
2020-06-12,6630
2020-06-12,5263
2020-06-13,6014
2020-06-14,5095
2020-06-15,6645
2020-06-15,4671
2020-06-16,6959
2020-06-17,5287
2020-06-18,6668
2020-06-18,5610
2020-06-19,6905
2020-06-20,6253
2020-06-20,4976
2020-06-21,5311
2020-06-22,6188
2020-06-23,6687
2020-06-23,5172
2020-06-24,6731
2020-06-25,5079
2020-06-26,6612
2020-06-27,6193
2020-06-27,5240
2020-06-28,5631
2020-06-29,6769
2020-06-29,4697
2020-06-30,7313
2020-07-01,7346
2020-07-02,7432
2020-07-02,5402
2020-07-03,7770
2020-07-04,5694
2020-07-05,6101
2020-07-05,5584
2020-07-06,7777
2020-07-07,6268
2020-07-07,5546
2020-07-08,7026
2020-07-09,7224
2020-07-10,7108
2020-07-10,5513
2020-07-11,6520
2020-07-12,4899
2020-07-13,6732
2020-07-13,5185
2020-07-14,7051
2020-07-15,7236
2020-07-15,5240
2020-07-16,7283
2020-07-17,6689
2020-07-18,6385
2020-07-18,5578
2020-07-19,5720
2020-07-20,5959
2020-07-20,5230
2020-07-21,7110
2020-07-22,7368
2020-07-23,7277
2020-07-23,5404
2020-07-24,7222
2020-07-25,5949
2020-07-26,5791
2020-07-26,5169
2020-07-27,7275
2020-07-28,7109
2020-07-28,5258
2020-07-29,7815
2020-07-30,7390
2020-07-31,7475
2020-07-31,5693
2020-08-01,6660
2020-08-02,5692
2020-08-02,4822
2020-08-03,7162
2020-08-04,7199
2020-08-05,7290
2020-08-05,5392
2020-08-06,7300
2020-08-07,7153
2020-08-08,6893
2020-08-08,5548
2020-08-09,6137
2020-08-10,6519
2020-08-10,5166
2020-08-11,7436
2020-08-12,7268
2020-08-13,7289
2020-08-13,5334
2020-08-14,7411
2020-08-15,6011
2020-08-16,5474
2020-08-16,4909
2020-08-18,6718
2020-08-19,6927
2020-08-19,5536
2020-08-20,7237
2020-08-21,7353
2020-08-22,5646
2020-08-23,5789
2020-08-24,5471
2020-08-25,7370
2020-08-26,7291
2020-08-27,7284
2020-08-28,7288
2020-08-29,6523
2020-08-30,5810
2020-08-31,7686
2020-09-01,5547
2020-09-02,7195
2020-09-02,5870
2020-09-03,7568
2020-09-04,5982
2020-09-05,5915
2020-09-05,5309
2020-09-06,5824
2020-09-07,7325
2020-09-08,6324
2020-09-08,5531
2020-09-09,7187
2020-09-10,7318
2020-09-11,6574
2020-09-11,5557
2020-09-12,6830
2020-09-13,5944
2020-09-14,7090
2020-09-15,7538
2020-09-16,5991
2020-09-16,5971
2020-09-17,7245
2020-09-18,7128
2020-09-19,6763
2020-09-19,5298
2020-09-20,5499
2020-09-21,6574
2020-09-22,6871
2020-09-22,5578
2020-09-23,7123
2020-09-24,7253
2020-09-25,6392
2020-09-25,5698
2020-09-26,6526
2020-09-27,5641
2020-09-28,6314
2020-09-28,5041
2020-09-29,7161
2020-09-30,7375
2020-10-01,7217
2020-10-01,5438
2020-10-02,6876
2020-10-03,6495
2020-10-04,5164
2020-10-05,7038
2020-10-05,5072
2020-10-06,7460
2020-10-07,5542
2020-10-08,7765
2020-10-08,5510
2020-10-09,7276
2020-10-10,6370
2020-10-11,6607
2020-10-11,5118
2020-10-12,7073
2020-10-13,6046
2020-10-13,5897
2020-10-14,6579
2020-10-15,7439
2020-10-16,7670
2020-10-16,5439
2020-10-17,6478
2020-10-18,5324
2020-10-19,7179
2020-10-19,5185
2020-10-20,7502
2020-10-21,6192
2020-10-21,5748
2020-10-22,7084
2020-10-23,7764
2020-10-24,7421
2020-10-24,5752
2020-10-25,6119
2020-10-26,6448
2020-10-27,8137
2020-10-27,5963
2020-10-28,7371
2020-10-29,7865
2020-10-30,7672
2020-10-31,6093
2020-11-01,6812
2020-11-01,5805
2020-11-02,7963
2020-11-03,7692
2020-11-03,5863
2020-11-04,7665
2020-11-05,7535
2020-11-06,8341
2020-11-06,6061
2020-11-07,6934
2020-11-08,6098
2020-11-09,8414
2020-11-09,5376
2020-11-10,8238
2020-11-11,6649
2020-11-11,6655
2020-11-12,8260
2020-11-13,8228
2020-11-14,7657
2020-11-14,5860
2020-11-15,6213
2020-11-16,7278
2020-11-17,7512
2020-11-17,6257
2020-11-18,8029
2020-11-19,8516
2020-11-20,8540
2020-11-20,6219
2020-11-21,7550
2020-11-22,6393
2020-11-22,5906
2020-11-23,8266
2020-11-24,8582
2020-11-25,8564
2020-11-25,6300
2020-11-26,8449
2020-11-27,7456
2020-11-28,8530
2020-11-28,6805
2020-11-29,7022
2020-11-30,7053
2020-11-30,5767
2020-12-01,7672
2020-12-02,8988
2020-12-03,8979
2020-12-03,6642
2020-12-04,8686
2020-12-05,8090
2020-12-06,6901
2020-12-07,8248
2020-12-07,5836
2020-12-08,8988
2020-12-09,8438
2020-12-10,8950
2020-12-10,6686
2020-12-11,9013
2020-12-12,6925
2020-12-12,6245
2020-12-13,7056
2020-12-14,8920
2020-12-15,8851
2020-12-15,6315
2020-12-16,8864
2020-12-17,7600
2020-12-18,7405
2020-12-18,6570
2020-12-19,7838
2020-12-20,6830
2020-12-21,8706
2020-12-21,5930
2020-12-22,8712
2020-12-23,6698
2020-12-23,7091
2020-12-24,8118
2020-12-25,5934
2020-12-26,6645
2020-12-26,5037
2020-12-27,6430
2020-12-28,6700
2020-12-29,7876
2020-12-29,5863
2020-12-30,7251
2020-12-31,6661
2020-12-31,5485
2021-01-01,5461
2021-01-02,5809
2021-01-03,5267
2021-01-04,7898
2021-01-04,5712
2021-01-05,8102
2021-01-06,7514
2021-01-07,7830
2021-01-08,8775
2021-01-09,6647
2021-01-10,6179
2021-01-11,8493
2021-01-11,6045
2021-01-12,9010
2021-01-13,8877
2021-01-14,8315
2021-01-15,9133
2021-01-15,6903
2021-01-16,8492
2021-01-17,7431
2021-01-17,6358
2021-01-18,9202
2021-01-19,9511
2021-01-20,7730
2021-01-20,7052
2021-01-21,8439
2021-01-22,8943
2021-01-23,8148
2021-01-23,6322
2021-01-24,6698
2021-01-25,6880
2021-01-25,6400
2021-01-26,9026
2021-01-27,8984
2021-01-28,7512
2021-01-28,6964
2021-01-29,8597
2021-01-30,7525
2021-01-31,7606
2021-01-31,5899
2021-02-01,9034
2021-02-02,7692
2021-02-03,8954
2021-02-03,6684
2021-02-04,8660
2021-02-05,6709
2021-02-06,7741
2021-02-06,6615
2021-02-07,7015
2021-02-08,8252
2021-02-08,5898
2021-02-09,8047
2021-02-10,8356
2021-02-11,8316
2021-02-11,6277
2021-02-12,8630
2021-02-13,8199
2021-02-14,6974
2021-02-14,6436
2021-02-15,8547
2021-02-16,9316
2021-02-17,7476
2021-02-17,6678
2021-02-18,8458
2021-02-20,8003
2021-02-20,7091
2021-02-21,7127
2021-02-22,7188
2021-02-22,6268
2021-02-23,8028
2021-02-24,8956
2021-02-25,8002
2021-02-25,6396
2021-02-26,7399
2021-02-27,7210
2021-02-28,6015
2021-03-01,8131
2021-03-01,5584
2021-03-02,7823
2021-03-03,7934
2021-03-04,8211
2021-03-04,6395
2021-03-05,7961
2021-03-06,7287
2021-03-06,6219
2021-03-07,6238
2021-03-08,8299
2021-03-09,8702
2021-03-09,6255
2021-03-10,8956
2021-03-11,8158
2021-03-12,8643
2021-03-12,6564
2021-03-13,7758
2021-03-14,6432
2021-03-14,6067
2021-03-15,8137
2021-03-16,8887
2021-03-17,7763
2021-03-17,6313
2021-03-19,8321
2021-03-20,8067
2021-03-21,6840
2021-03-22,8589
2021-03-23,8739
2021-03-24,8844
2021-03-24,6481
2021-03-25,8239
2021-03-26,7214
2021-03-27,6781
2021-03-27,6667
2021-03-28,6435
2021-03-29,7415
2021-03-30,8238
2021-03-31,8120
2021-03-31,6125
2021-04-01,7323
2021-04-02,7686
2021-04-03,7066
2021-04-03,5942
2021-04-04,6363
2021-04-05,6937
2021-04-05,5678
2021-04-06,7478
2021-04-07,8497
2021-04-08,8437
2021-04-08,6308
2021-04-09,7852
2021-04-10,6333
2021-04-10,6308
2021-04-11,5869
2021-04-12,7753
2021-04-13,8087
2021-04-13,5791
2021-04-14,8197
2021-04-15,7930
2021-04-16,8055
2021-04-16,6262
2021-04-17,6702
2021-04-18,6411
2021-04-19,7933
2021-04-19,5592
2021-04-20,8067
2021-04-21,6810
2021-04-21,6522
2021-04-22,7162
2021-04-23,7749
2021-04-24,7357
2021-04-24,5990
2021-04-25,5686
2021-04-26,6858
2021-04-27,7512
2021-04-27,6281
2021-04-28,8071
2021-04-29,7012
2021-04-29,6062
2021-04-30,6341
2021-05-01,6276
2021-05-02,5233
2021-05-02,4775
2021-05-03,5113
2021-05-04,6543
2021-05-05,6970
2021-05-05,5514
2021-05-06,7159
2021-05-07,6559
2021-05-07,5757
2021-05-08,6248
2021-05-09,5677
2021-05-10,7359
2021-05-10,5104
2021-05-11,6982
2021-05-12,6900
2021-05-13,7124
2021-05-13,5611
2021-05-14,7123
2021-05-15,6648
2021-05-16,6551
2021-05-16,5067
2021-05-17,7029
2021-05-18,6891
2021-05-19,6891
2021-05-19,5728
2021-05-20,7621
2021-05-21,6275
2021-05-21,5808
2021-05-22,6180
2021-05-23,5633
2021-05-24,7384
2021-05-24,5008
2021-05-25,6856
2021-05-26,6943
2021-05-27,6872
2021-05-27,5766
2021-05-28,7338
2021-05-29,5963
2021-05-29,5267
2021-05-30,5461
2021-05-31,7018
2021-06-01,6183
2021-06-01,5415
2021-06-02,6955
2021-06-03,7330
2021-06-04,5508
2021-06-05,6210
2021-06-05,5772
2021-06-06,5889
2021-06-07,7212
2021-06-08,6365
2021-06-09,6977
2021-06-09,5789
2021-06-10,7106
2021-06-11,7111
2021-06-11,5323
2021-06-12,6498
