date,biomass
18/08/2021,70.72165
19/08/2021,71.7567
20/08/2021,69.10147
20/08/2021,68.61895
20/08/2021,69.10147
20/08/2021,68.61895
21/08/2021,68.755356
22/08/2021,64.430885
22/08/2021,62.715652
22/08/2021,64.430885
22/08/2021,62.715652
23/08/2021,67.69855
24/08/2021,70.471954
25/08/2021,66.84539
25/08/2021,61.92495
25/08/2021,66.84539
25/08/2021,61.92495
26/08/2021,58.75535
27/08/2021,59.88006
28/08/2021,60.923412
28/08/2021,60.1703
28/08/2021,60.923412
28/08/2021,60.1703
29/08/2021,58.104477
30/08/2021,59.67565
30/08/2021,60.697983
30/08/2021,59.67565
30/08/2021,60.697983
31/08/2021,58.91262
01/09/2021,62.427673
02/09/2021,61.92495
02/09/2021,63.686615
02/09/2021,61.92495
02/09/2021,63.686615
03/09/2021,59.046555
04/09/2021,61.561344
05/09/2021,51.46515
05/09/2021,46.87286
05/09/2021,51.46515
05/09/2021,46.87286
06/09/2021,51.381847
07/09/2021,51.880417
08/09/2021,48.9885
08/09/2021,48.62824
08/09/2021,48.9885
08/09/2021,48.62824
09/09/2021,48.9885
10/09/2021,51.062485
10/09/2021,52.941345
10/09/2021,51.062485
10/09/2021,52.941345
11/09/2021,52.723164
12/09/2021,56.627747
13/09/2021,57.344604
13/09/2021,60.697983
13/09/2021,57.344604
13/09/2021,60.697983
14/09/2021,55.18239
15/09/2021,66.38079
15/09/2021,71.64151
15/09/2021,66.38079
15/09/2021,71.64151
16/09/2021,70.72165
17/09/2021,71.044365
18/09/2021,72.07693
19/09/2021,61.783676
20/09/2021,52.45174
20/09/2021,51.99357
20/09/2021,52.45174
20/09/2021,51.99357
21/09/2021,53.311726
22/09/2021,55.44938
23/09/2021,56.564346
23/09/2021,53.589485
23/09/2021,56.564346
23/09/2021,53.589485
24/09/2021,52.941345
25/09/2021,52.23796
26/09/2021,48.247177
27/09/2021,54.105766
27/09/2021,59.574158
27/09/2021,54.105766
27/09/2021,59.574158
28/09/2021,58.557358
29/09/2021,60.93682
29/09/2021,62.195763
29/09/2021,60.93682
29/09/2021,62.195763
30/09/2021,60.136295
01/10/2021,62.512
02/10/2021,69.865295
02/10/2021,71.7611
02/10/2021,69.865295
02/10/2021,71.7611
03/10/2021,67.717804
04/10/2021,68.80868
05/10/2021,66.66474
05/10/2021,68.37997
05/10/2021,66.66474
05/10/2021,68.37997
06/10/2021,68.530754
07/10/2021,68.54272
07/10/2021,68.797585
07/10/2021,68.54272
07/10/2021,68.797585
08/10/2021,66.49874
09/10/2021,67.30635
10/10/2021,66.22581
10/10/2021,64.91615
10/10/2021,66.22581
10/10/2021,64.91615
11/10/2021,68.393524
12/10/2021,61.13034
13/10/2021,61.172188
13/10/2021,67.63522
13/10/2021,61.172188
13/10/2021,67.63522
14/10/2021,65.51297
15/10/2021,67.73759
16/10/2021,70.55026
17/10/2021,67.73136
17/10/2021,64.91615
17/10/2021,67.73136
17/10/2021,64.91615
18/10/2021,69.423935
19/10/2021,68.822235
19/10/2021,69.49347
19/10/2021,68.822235
19/10/2021,69.49347
20/10/2021,70.04988
21/10/2021,72.9995
22/10/2021,75.02989
23/10/2021,74.26207
23/10/2021,76.29805
23/10/2021,74.26207
23/10/2021,76.29805
24/10/2021,70.32152
25/10/2021,72.00597
26/10/2021,77.01669
26/10/2021,77.38522
26/10/2021,77.01669
26/10/2021,77.38522
27/10/2021,74.0068
28/10/2021,71.78516
29/10/2021,76.19874
30/10/2021,75.24799
30/10/2021,67.296196
30/10/2021,75.24799
30/10/2021,67.296196
31/10/2021,68.68018
01/11/2021,59.327785
02/11/2021,51.47393
03/11/2021,52.354618
04/11/2021,51.449215
04/11/2021,56.961033
04/11/2021,51.449215
04/11/2021,56.961033
05/11/2021,53.18881
06/11/2021,51.601444
07/11/2021,50.100674
07/11/2021,48.782513
07/11/2021,50.100674
07/11/2021,48.782513
08/11/2021,51.834194
09/11/2021,56.365196
09/11/2021,61.7394
09/11/2021,56.365196
09/11/2021,61.7394
10/11/2021,62.484745
11/11/2021,66.96799
12/11/2021,63.501877
12/11/2021,66.424446
12/11/2021,63.501877
12/11/2021,66.424446
13/11/2021,65.974655
14/11/2021,59.960667
15/11/2021,65.79399
15/11/2021,65.540344
15/11/2021,65.79399
15/11/2021,65.540344
16/11/2021,62.840767
17/11/2021,65.57318
17/11/2021,68.172714
17/11/2021,65.57318
17/11/2021,68.172714
18/11/2021,64.00745
