date,nuclear
11/08/2021,1359.073
12/08/2021,1359.073
13/08/2021,1346.7568
14/08/2021,1349.5403
14/08/2021,1361.8564
15/08/2021,1363.8054
16/08/2021,1359.3654
17/08/2021,1359.3654
17/08/2021,1359.3654
17/08/2021,1359.3654
17/08/2021,1359.3654
18/08/2021,1365.5745
19/08/2021,1347.0492
20/08/2021,1365.5745
20/08/2021,1359.3654
20/08/2021,1365.5745
20/08/2021,1359.3654
21/08/2021,1367.4663
22/08/2021,1363.8054
22/08/2021,1370.0145
22/08/2021,1363.8054
22/08/2021,1370.0145
23/08/2021,1365.5745
24/08/2021,1359.3654
25/08/2021,1359.3654
25/08/2021,1359.3654
25/08/2021,1359.3654
25/08/2021,1359.3654
26/08/2021,1365.5745
27/08/2021,1348.1464
28/08/2021,1369.8427
28/08/2021,1369.8427
28/08/2021,1369.8427
28/08/2021,1369.8427
29/08/2021,1371.1117
30/08/2021,1367.9583
30/08/2021,1361.0692
30/08/2021,1367.9583
30/08/2021,1361.0692
31/08/2021,1367.9583
01/09/2021,1370.4103
02/09/2021,1352.9926
02/09/2021,1372.1978
02/09/2021,1352.9926
02/09/2021,1372.1978
03/09/2021,1372.1978
04/09/2021,1367.7998
05/09/2021,1376.6378
05/09/2021,1376.6378
05/09/2021,1376.6378
05/09/2021,1376.6378
06/09/2021,1372.7866
07/09/2021,1366.3695
08/09/2021,1373.2585
08/09/2021,1373.2585
08/09/2021,1373.2585
08/09/2021,1373.2585
09/09/2021,1379.0378
10/09/2021,1371.9794
10/09/2021,1373.2585
10/09/2021,1371.9794
10/09/2021,1373.2585
11/09/2021,1381.5289
12/09/2021,1383.4779
13/09/2021,1379.0378
13/09/2021,1373.2585
13/09/2021,1379.0378
13/09/2021,1373.2585
14/09/2021,1379.0378
15/09/2021,1373.2585
15/09/2021,1373.2585
15/09/2021,1373.2585
15/09/2021,1373.2585
16/09/2021,1378.1324
17/09/2021,1366.3695
18/09/2021,1375.7496
19/09/2021,1059.2834
20/09/2021,1072.9409
20/09/2021,1391.3563
20/09/2021,1072.9409
20/09/2021,1391.3563
21/09/2021,1391.3563
22/09/2021,1384.4673
23/09/2021,1397.1356
23/09/2021,1397.1356
23/09/2021,1397.1356
23/09/2021,1397.1356
24/09/2021,1397.1356
25/09/2021,1399.6267
26/09/2021,1401.5757
27/09/2021,1397.1356
27/09/2021,1397.1356
27/09/2021,1397.1356
27/09/2021,1397.1356
28/09/2021,1397.1356
29/09/2021,1397.1356
29/09/2021,1397.1356
29/09/2021,1397.1356
29/09/2021,1397.1356
30/09/2021,1397.1356
01/10/2021,1390.6764
02/10/2021,1393.1675
02/10/2021,1399.6267
02/10/2021,1393.1675
02/10/2021,1399.6267
03/10/2021,1401.5757
04/10/2021,1397.1356
05/10/2021,1397.1356
05/10/2021,1397.1356
05/10/2021,1397.1356
05/10/2021,1397.1356
06/10/2021,1397.1356
07/10/2021,1397.1356
07/10/2021,1397.1356
07/10/2021,1397.1356
07/10/2021,1397.1356
08/10/2021,1397.1356
09/10/2021,1399.6267
10/10/2021,1401.5757
10/10/2021,1401.5757
10/10/2021,1401.5757
10/10/2021,1401.5757
11/10/2021,1397.1356
12/10/2021,1397.1356
13/10/2021,1384.4673
13/10/2021,1397.1356
13/10/2021,1384.4673
13/10/2021,1397.1356
14/10/2021,1397.1356
15/10/2021,761.944
16/10/2021,767.00696
17/10/2021,793.5507
17/10/2021,1414.145
17/10/2021,793.5507
17/10/2021,1414.145
18/10/2021,1403.9257
19/10/2021,1397.0366
19/10/2021,1409.705
19/10/2021,1397.0366
19/10/2021,1409.705
20/10/2021,1409.705
21/10/2021,1409.705
22/10/2021,1403.9257
23/10/2021,1412.196
23/10/2021,1412.196
23/10/2021,1412.196
23/10/2021,1412.196
24/10/2021,1414.145
25/10/2021,1409.705
26/10/2021,1409.705
26/10/2021,1409.705
26/10/2021,1409.705
26/10/2021,1409.705
27/10/2021,1409.705
28/10/2021,1403.9257
29/10/2021,1408.7996
30/10/2021,1412.196
30/10/2021,1412.196
30/10/2021,1412.196
30/10/2021,1412.196
31/10/2021,1414.145
01/11/2021,1409.705
02/11/2021,1409.705
03/11/2021,1409.705
04/11/2021,1409.705
04/11/2021,1409.705
04/11/2021,1409.705
04/11/2021,1409.705
05/11/2021,1409.705
06/11/2021,1406.4167
07/11/2021,1414.145
07/11/2021,1414.145
07/11/2021,1414.145
07/11/2021,1414.145
08/11/2021,1409.705
09/11/2021,1397.0366
09/11/2021,1409.705
09/11/2021,1397.0366
09/11/2021,1409.705
10/11/2021,1409.705
11/11/2021,1409.705
12/11/2021,1403.9257
12/11/2021,1409.705
12/11/2021,1403.9257
12/11/2021,1409.705
13/11/2021,1412.196
14/11/2021,1414.145
15/11/2021,1409.705
15/11/2021,1409.705
15/11/2021,1409.705
15/11/2021,1409.705
16/11/2021,1409.705
17/11/2021,1403.9257
17/11/2021,1409.705
17/11/2021,1403.9257
17/11/2021,1409.705
18/11/2021,1409.705
19/11/2021,1403.9257
20/11/2021,1406.4167
21/11/2021,1414.145
22/11/2021,1409.705
22/11/2021,1409.705
22/11/2021,1409.705
22/11/2021,1409.705
23/11/2021,1409.705
24/11/2021,1409.705
25/11/2021,1403.9257
25/11/2021,1409.705
25/11/2021,1403.9257
25/11/2021,1409.705
26/11/2021,1409.705
27/11/2021,1406.4167
28/11/2021,1414.145
28/11/2021,1414.145
29/11/2021,1409.705
30/11/2021,1403.9257
30/11/2021,1409.705
30/11/2021,1403.9257
30/11/2021,1409.705
01/12/2021,1407.2529
02/12/2021,1407.2529
03/12/2021,1407.2529
03/12/2021,1407.2529
03/12/2021,1407.2529
03/12/2021,1407.2529
04/12/2021,1409.744
05/12/2021,1411.693
06/12/2021,1407.2529
06/12/2021,1407.2529
06/12/2021,1407.2529
06/12/2021,1407.2529
07/12/2021,1407.2529
08/12/2021,1407.2529
08/12/2021,1407.2529
08/12/2021,1407.2529
08/12/2021,1407.2529
09/12/2021,1407.2529
10/12/2021,1401.4736
11/12/2021,1409.744
11/12/2021,1409.744
11/12/2021,1409.744
11/12/2021,1409.744
12/12/2021,1411.693
13/12/2021,1407.2529
14/12/2021,1407.2529
14/12/2021,1407.2529
14/12/2021,1407.2529
14/12/2021,1407.2529
15/12/2021,1407.2529
16/12/2021,1407.2529
17/12/2021,1400.7937
18/12/2021,1403.9647
18/12/2021,1409.744
18/12/2021,1403.9647
18/12/2021,1409.744
19/12/2021,1411.693
20/12/2021,1407.2529
21/12/2021,1407.2529
21/12/2021,1407.2529
21/12/2021,1407.2529
21/12/2021,1407.2529
22/12/2021,1406.3475
23/12/2021,1401.4736
24/12/2021,1407.2529
25/12/2021,1409.744
26/12/2021,1411.693
26/12/2021,1411.693
26/12/2021,1411.693
26/12/2021,1411.693
27/12/2021,1407.2529
28/12/2021,1403.7843
29/12/2021,1377.687
29/12/2021,954.77686
29/12/2021,1377.687
29/12/2021,954.77686
30/12/2021,1383.4663
31/12/2021,1358.4818
31/12/2021,1383.4663
31/12/2021,1358.4818
31/12/2021,1383.4663
01/01/2022,1416.3519
02/01/2022,1418.3009
03/01/2022,1395.2255
03/01/2022,1395.2255
03/01/2022,1395.2255
03/01/2022,1395.2255
04/01/2022,1395.2255
05/01/2022,1395.2255
06/01/2022,1395.2255
06/01/2022,1395.2255
06/01/2022,1395.2255
06/01/2022,1395.2255
07/01/2022,1395.2255
08/01/2022,1391.2573
09/01/2022,1399.6655
09/01/2022,1399.6655
10/01/2022,1395.2255
11/01/2022,1389.4462
12/01/2022,1395.2255
12/01/2022,1388.7662
12/01/2022,1395.2255
12/01/2022,1388.7662
13/01/2022,1395.2255
14/01/2022,1395.2255
14/01/2022,1395.2255
14/01/2022,1395.2255
14/01/2022,1395.2255
15/01/2022,1397.7166
16/01/2022,1393.8862
17/01/2022,1395.2255
17/01/2022,1395.2255
17/01/2022,1395.2255
17/01/2022,1395.2255
18/01/2022,1395.2255
19/01/2022,1388.7662
20/01/2022,1395.2255
21/01/2022,1395.2255
21/01/2022,1395.2255
21/01/2022,1395.2255
21/01/2022,1395.2255
22/01/2022,1397.7166
23/01/2022,1399.6655
24/01/2022,1395.2255
25/01/2022,1395.2255
25/01/2022,1389.4462
25/01/2022,1395.2255
25/01/2022,1389.4462
26/01/2022,1395.2255
27/01/2022,1382.5571
27/01/2022,1395.2255
27/01/2022,1382.5571
27/01/2022,1395.2255
28/01/2022,1395.2255
29/01/2022,1397.7166
30/01/2022,1399.6655
30/01/2022,1399.6655
30/01/2022,1399.6655
30/01/2022,1399.6655
31/01/2022,1395.2255
01/02/2022,1394.3201
02/02/2022,1395.2255
03/02/2022,1395.2255
05/02/2022,1385.0482
06/02/2022,1399.6655
08/02/2022,1395.2255
09/02/2022,1395.2255
10/02/2022,1395.2255
12/02/2022,1372.732
13/02/2022,1399.6655
14/02/2022,1395.2255
15/02/2022,1395.2255
16/02/2022,1388.7662
18/02/2022,1395.2255
19/02/2022,1397.7166
21/02/2022,1395.2255
22/02/2022,1395.2255
24/02/2022,1395.2255
25/02/2022,1395.2255
26/02/2022,1397.7166
28/02/2022,1395.2255
01/03/2022,1395.2255
02/03/2022,1395.2255
03/03/2022,1395.2255
05/03/2022,1391.9373
06/03/2022,1399.6655
08/03/2022,1395.2255
09/03/2022,1395.2255
